ISO 8601 Time,Ax (g),Ay (g),Az (g),Mx (mG),My (mG),Mz (mG)
2021-04-05T12:22:22.000,0.97295,-0.12078,0.01704,215.97,130.15,-107.00
2021-04-05T12:22:22.063,0.97395,-0.12275,0.01905,214.30,130.15,-106.08
2021-04-05T12:22:22.125,0.97491,-0.11977,0.01703,215.97,132.81,-106.06
2021-04-05T12:22:22.188,0.97494,-0.12276,0.01806,214.30,130.17,-104.25
2021-04-05T12:22:22.250,0.97002,-0.12382,0.01410,215.14,132.81,-106.06
2021-04-05T12:22:22.313,0.96999,-0.12178,0.01903,214.30,131.02,-107.90
2021-04-05T12:22:22.375,0.97100,-0.12281,0.01508,214.31,131.89,-108.81
2021-04-05T12:22:22.438,0.96802,-0.12181,0.01705,216.81,130.13,-108.83
2021-04-05T12:22:22.500,0.97296,-0.12178,0.01705,215.97,130.15,-107.00
2021-04-05T12:22:22.563,0.97595,-0.12378,0.01509,214.30,127.49,-107.02
2021-04-05T12:22:22.625,0.97298,-0.12379,0.01608,215.14,131.01,-108.82
2021-04-05T12:22:22.688,0.97493,-0.12175,0.01904,215.97,130.16,-105.17
2021-04-05T12:22:22.750,0.97391,-0.11878,0.01701,215.97,128.37,-107.93
2021-04-05T12:22:22.813,0.97296,-0.12177,0.01804,215.97,130.13,-108.83
2021-04-05T12:22:22.875,0.97096,-0.11980,0.01603,215.14,130.15,-106.08
2021-04-05T12:22:22.938,0.97097,-0.12078,0.01803,215.97,129.25,-107.92
2021-04-05T12:22:23.000,0.97492,-0.12078,0.01605,217.64,131.92,-106.98
2021-04-05T12:22:23.063,0.97394,-0.12177,0.01705,215.14,130.14,-107.91
2021-04-05T12:22:23.125,0.97497,-0.12476,0.01709,215.97,129.24,-108.84
2021-04-05T12:22:23.188,0.97196,-0.12080,0.01505,214.30,131.04,-106.07
2021-04-05T12:22:23.250,0.97000,-0.12179,0.01705,214.30,131.90,-107.90
2021-04-05T12:22:23.313,0.97394,-0.12174,0.02102,215.14,132.79,-107.89
2021-04-05T12:22:23.375,0.97296,-0.12177,0.01804,216.81,131.02,-107.90
2021-04-05T12:22:23.438,0.97293,-0.11975,0.02000,216.81,132.80,-106.97
2021-04-05T12:22:23.500,0.97394,-0.12078,0.01605,215.97,131.01,-108.82
2021-04-05T12:22:23.563,0.97494,-0.12275,0.01905,213.47,131.90,-107.89
2021-04-05T12:22:23.625,0.97394,-0.12177,0.01705,214.30,131.01,-108.82
2021-04-05T12:22:23.688,0.96998,-0.12080,0.01704,214.30,131.04,-105.16
2021-04-05T12:22:23.750,0.97394,-0.12176,0.01804,215.14,130.14,-107.91
2021-04-05T12:22:23.813,0.97197,-0.12179,0.01606,214.31,133.69,-106.05
2021-04-05T12:22:23.875,0.97492,-0.12076,0.01803,214.30,131.03,-106.99
2021-04-05T12:22:23.938,0.97696,-0.12675,0.01711,215.97,131.02,-107.90
2021-04-05T12:22:24.000,0.97590,-0.12075,0.01902,215.97,129.25,-107.92
2021-04-05T12:22:24.063,0.97297,-0.12280,0.01508,215.97,131.91,-107.90
2021-04-05T12:22:24.125,0.97393,-0.12076,0.01902,216.81,132.79,-107.89
2021-04-05T12:22:24.188,0.96902,-0.12281,0.01607,215.97,130.15,-107.00
2021-04-05T12:22:24.250,0.97297,-0.12279,0.01607,215.14,130.14,-107.00
2021-04-05T12:22:24.313,0.97492,-0.12077,0.01704,214.31,133.71,-104.22
2021-04-05T12:22:24.375,0.97392,-0.11978,0.01603,215.14,131.04,-106.08
2021-04-05T12:22:24.438,0.97393,-0.12077,0.01704,216.81,131.06,-104.25
2021-04-05T12:22:24.500,0.97195,-0.12077,0.01902,218.48,135.43,-109.69
2021-04-05T12:22:24.563,0.96998,-0.12080,0.01704,216.81,134.56,-107.87
2021-04-05T12:22:24.625,0.97197,-0.12178,0.01705,218.48,132.81,-106.06
2021-04-05T12:22:24.688,0.97296,-0.12177,0.01804,213.47,135.46,-105.12
2021-04-05T12:22:24.750,0.97198,-0.12276,0.01905,213.47,135.50,-101.46
2021-04-05T12:22:24.813,0.97592,-0.12175,0.01804,211.80,134.61,-101.47
2021-04-05T12:22:24.875,0.97196,-0.12079,0.01604,212.63,133.76,-97.82
2021-04-05T12:22:24.938,0.97096,-0.11978,0.01802,211.80,131.97,-99.67
2021-04-05T12:22:25.000,0.97394,-0.12176,0.01903,210.96,129.33,-98.78
2021-04-05T12:22:25.063,0.97297,-0.12278,0.01706,209.29,130.23,-96.94
2021-04-05T12:22:25.125,0.96998,-0.12079,0.01803,209.29,131.07,-101.50
2021-04-05T12:22:25.188,0.97595,-0.12378,0.01509,212.63,131.05,-104.25
2021-04-05T12:22:25.250,0.97197,-0.12178,0.01705,212.64,132.79,-106.97
2021-04-05T12:22:25.313,0.97493,-0.12176,0.01804,212.64,132.80,-106.06
2021-04-05T12:22:25.375,0.97793,-0.12476,0.01610,212.63,131.03,-106.07
2021-04-05T12:22:25.438,0.97096,-0.11978,0.01802,213.47,130.12,-108.83
2021-04-05T12:22:25.500,0.97002,-0.12379,0.01707,219.30,123.99,-103.40
2021-04-05T12:22:25.563,0.97296,-0.12179,0.01606,215.96,127.53,-103.37
2021-04-05T12:22:25.625,0.97293,-0.11978,0.01703,217.64,129.30,-103.35
2021-04-05T12:22:25.688,0.97492,-0.12077,0.01704,220.97,124.89,-102.48
2021-04-05T12:22:25.750,0.97396,-0.12278,0.01607,218.47,126.68,-99.72
2021-04-05T12:22:25.813,0.97198,-0.12277,0.01805,219.31,129.29,-104.27
2021-04-05T12:22:25.875,0.97194,-0.11977,0.01901,220.97,130.21,-100.60
2021-04-05T12:22:25.938,0.97295,-0.12079,0.01605,220.14,125.75,-104.30
2021-04-05T12:22:26.000,0.97295,-0.12176,0.01903,220.14,128.42,-103.36
2021-04-05T12:22:26.063,0.97491,-0.11977,0.01703,221.81,131.04,-106.99
2021-04-05T12:22:26.125,0.97198,-0.12278,0.01706,217.64,131.95,-103.33
2021-04-05T12:22:26.188,0.97197,-0.12177,0.01903,220.14,128.42,-103.36
2021-04-05T12:22:26.250,0.97390,-0.11776,0.01899,217.64,131.06,-104.25
2021-04-05T12:22:26.313,0.97100,-0.12377,0.01906,216.81,135.49,-103.29
2021-04-05T12:22:26.375,0.97001,-0.12280,0.01607,218.47,130.18,-103.34
2021-04-05T12:22:26.438,0.97593,-0.12276,0.01706,216.80,130.18,-103.34
2021-04-05T12:22:26.500,0.97298,-0.12280,0.01409,218.47,131.08,-101.51
2021-04-05T12:22:26.563,0.97397,-0.12377,0.01707,217.64,131.95,-103.33
2021-04-05T12:22:26.625,0.97195,-0.11979,0.01703,217.64,131.96,-102.41
2021-04-05T12:22:26.688,0.97294,-0.12077,0.01803,218.47,130.18,-103.34
2021-04-05T12:22:26.750,0.97296,-0.12177,0.01804,216.80,128.40,-104.27
2021-04-05T12:22:26.813,0.97293,-0.11976,0.01901,216.80,130.17,-104.26
2021-04-05T12:22:26.875,0.97394,-0.12177,0.01705,217.64,129.29,-104.27
2021-04-05T12:22:26.938,0.97690,-0.12175,0.01804,215.97,130.19,-102.43
2021-04-05T12:22:27.000,0.97591,-0.12076,0.01803,215.97,131.94,-104.24
2021-04-05T12:22:27.063,0.97101,-0.12379,0.01707,215.97,130.18,-103.34
2021-04-05T12:22:27.125,0.97296,-0.12178,0.01705,217.64,129.32,-100.61
2021-04-05T12:22:27.188,0.97692,-0.12275,0.01806,215.97,127.52,-104.28
2021-04-05T12:22:27.250,0.97298,-0.12378,0.01707,216.80,127.53,-102.45
2021-04-05T12:22:27.313,0.97592,-0.12177,0.01606,216.80,130.19,-102.43
2021-04-05T12:22:27.375,0.97393,-0.12076,0.01902,217.63,127.54,-101.54
2021-04-05T12:22:27.438,0.97100,-0.12281,0.01508,215.96,126.66,-101.55
2021-04-05T12:22:27.500,0.97197,-0.12276,0.02004,217.64,129.31,-101.52
2021-04-05T12:22:27.563,0.97202,-0.12579,0.01611,217.63,127.54,-101.54
2021-04-05T12:22:27.625,0.97589,-0.11974,0.02000,221.81,130.20,-102.43
2021-04-05T12:22:27.688,0.97293,-0.11976,0.01901,216.80,127.58,-97.88
2021-04-05T12:22:27.750,0.96902,-0.12281,0.01607,216.80,127.57,-98.80
2021-04-05T12:22:27.813,0.96999,-0.12081,0.01505,218.47,125.77,-102.47
2021-04-05T12:22:27.875,0.97300,-0.12578,0.01611,219.30,129.32,-100.61
2021-04-05T12:22:27.938,0.96900,-0.12080,0.01704,219.30,128.42,-102.45
2021-04-05T12:22:28.000,0.97396,-0.12277,0.01706,220.98,131.97,-101.50
2021-04-05T12:22:28.063,0.96998,-0.12079,0.01803,218.47,129.31,-101.52
2021-04-05T12:22:28.125,0.97392,-0.11977,0.01802,217.64,130.21,-100.60
2021-04-05T12:22:28.188,0.97297,-0.12279,0.01607,215.13,131.12,-96.93
2021-04-05T12:22:28.250,0.97785,-0.11774,0.01899,213.47,134.63,-99.64
2021-04-05T12:22:28.313,0.97100,-0.12280,0.01607,213.48,137.24,-104.19
2021-04-05T12:22:28.375,0.97691,-0.12176,0.01705,215.97,132.81,-105.15
2021-04-05T12:22:28.438,0.97392,-0.11978,0.01703,215.98,134.59,-104.21
2021-04-05T12:22:28.500,0.97588,-0.11779,0.01502,216.81,133.69,-106.05
2021-04-05T12:22:28.563,0.97392,-0.11977,0.01802,215.14,133.71,-103.31
2021-04-05T12:22:28.625,0.97492,-0.12075,0.01902,215.14,135.48,-103.29
2021-04-05T12:22:28.688,0.97394,-0.12177,0.01705,216.81,134.57,-106.96
2021-04-05T12:22:28.750,0.97196,-0.12079,0.01704,216.81,134.58,-106.04
2021-04-05T12:22:28.813,0.97394,-0.12177,0.01705,215.98,133.67,-108.79
2021-04-05T12:22:28.875,0.97198,-0.12279,0.01607,214.30,131.91,-106.98
2021-04-05T12:22:28.938,0.96802,-0.12181,0.01705,212.64,132.80,-106.06
2021-04-05T12:22:29.000,0.97393,-0.12077,0.01803,217.64,131.89,-109.73
2021-04-05T12:22:29.063,0.97001,-0.12279,0.01706,216.81,132.80,-106.97
2021-04-05T12:22:29.125,0.97293,-0.11880,0.01503,216.81,130.13,-108.83
2021-04-05T12:22:29.188,0.97492,-0.12077,0.01704,215.14,130.09,-112.48
2021-04-05T12:22:29.250,0.97493,-0.12177,0.01705,214.31,131.89,-108.81
2021-04-05T12:22:29.313,0.97492,-0.12075,0.01902,211.80,130.13,-107.91
2021-04-05T12:22:29.375,0.97191,-0.11677,0.01897,212.63,128.34,-110.67
2021-04-05T12:22:29.438,0.97391,-0.11879,0.01602,212.63,129.21,-111.58
2021-04-05T12:22:29.500,0.97590,-0.12075,0.01902,210.96,128.34,-110.67
2021-04-05T12:22:29.563,0.97394,-0.12176,0.01804,213.47,129.23,-109.75
2021-04-05T12:22:29.625,0.97097,-0.12080,0.01604,210.13,129.22,-110.66
2021-04-05T12:22:29.688,0.97197,-0.12179,0.01606,211.80,127.44,-111.59
2021-04-05T12:22:29.750,0.97694,-0.12475,0.01709,213.47,129.27,-106.09
2021-04-05T12:22:29.813,0.97593,-0.12276,0.01706,214.30,130.13,-107.91
2021-04-05T12:22:29.875,0.96903,-0.12379,0.01806,211.80,131.91,-106.98
2021-04-05T12:22:29.938,0.97098,-0.12178,0.01804,214.31,134.58,-105.13
2021-04-05T12:22:30.000,0.97298,-0.12379,0.01608,215.14,133.70,-105.14
2021-04-05T12:22:30.063,0.97295,-0.12078,0.01704,215.14,135.49,-102.38
2021-04-05T12:22:30.125,0.97293,-0.11978,0.01703,215.98,133.70,-105.14
2021-04-05T12:22:30.188,0.97097,-0.12079,0.01704,216.81,131.92,-106.98
2021-04-05T12:22:30.250,0.97493,-0.12174,0.02003,212.63,131.95,-102.41
2021-04-05T12:22:30.313,0.97297,-0.12280,0.01508,215.97,134.61,-102.39
2021-04-05T12:22:30.375,0.97098,-0.12178,0.01804,215.14,133.72,-102.39
2021-04-05T12:22:30.438,0.97495,-0.12375,0.01906,214.30,131.06,-103.33
2021-04-05T12:22:30.500,0.97495,-0.12374,0.02005,210.96,131.06,-102.42
2021-04-05T12:22:30.563,0.97787,-0.11975,0.01703,210.96,131.95,-102.41
2021-04-05T12:22:30.625,0.96998,-0.12078,0.01902,210.13,131.03,-106.07
2021-04-05T12:22:30.688,0.97494,-0.12275,0.01905,215.98,134.56,-107.87
2021-04-05T12:22:30.750,0.97394,-0.12177,0.01705,214.31,138.14,-103.27
2021-04-05T12:22:30.813,0.96900,-0.12081,0.01604,215.14,135.47,-105.12
2021-04-05T12:22:30.875,0.97495,-0.12377,0.01708,215.14,134.58,-105.13
2021-04-05T12:22:30.938,0.97294,-0.12077,0.01803,215.14,135.50,-101.46
2021-04-05T12:22:31.000,0.97199,-0.12376,0.01906,214.30,131.94,-103.32
2021-04-05T12:22:31.063,0.97097,-0.12079,0.01704,215.97,133.74,-100.57
2021-04-05T12:22:31.125,0.97294,-0.12077,0.01803,216.81,134.61,-102.39
2021-04-05T12:22:31.188,0.97394,-0.12176,0.01804,215.97,132.84,-102.40
2021-04-05T12:22:31.250,0.97588,-0.11876,0.01801,216.81,134.59,-104.21
2021-04-05T12:22:31.313,0.97494,-0.12277,0.01706,216.81,133.73,-101.48
2021-04-05T12:22:31.375,0.97294,-0.12077,0.01803,217.64,133.72,-103.31
2021-04-05T12:22:31.438,0.97195,-0.11979,0.01703,218.47,129.29,-104.27
2021-04-05T12:22:31.500,0.97788,-0.12074,0.01903,217.64,132.84,-102.40
2021-04-05T12:22:31.563,0.97003,-0.12478,0.01808,218.48,131.94,-104.24
2021-04-05T12:22:31.625,0.97788,-0.12075,0.01704,215.97,130.12,-109.74
2021-04-05T12:22:31.688,0.97097,-0.12078,0.01803,220.14,129.29,-104.27
2021-04-05T12:22:31.750,0.97098,-0.12180,0.01606,213.47,131.89,-108.81
2021-04-05T12:22:31.813,0.97097,-0.12077,0.01902,218.48,130.14,-107.91
2021-04-05T12:22:31.875,0.97000,-0.12180,0.01606,217.64,128.39,-106.10
2021-04-05T12:22:31.938,0.97294,-0.12077,0.01803,217.64,131.03,-106.99
2021-04-05T12:22:32.000,0.97098,-0.12178,0.01804,219.32,135.47,-105.12
2021-04-05T12:22:32.063,0.97594,-0.12374,0.01906,217.65,136.35,-106.03
