ISO 8601 Time,Roll (degrees),Pitch (degrees),Yaw (degrees)
2021-04-05T12:22:22.000,-81.97,-82.85,27.37
2021-04-05T12:22:22.063,-81.18,-82.73,26.42
2021-04-05T12:22:22.125,-81.91,-82.93,26.66
2021-04-05T12:22:22.188,-81.63,-82.75,26.37
2021-04-05T12:22:22.250,-83.51,-82.68,27.96
2021-04-05T12:22:22.313,-81.12,-82.76,26.67
2021-04-05T12:22:22.375,-83.00,-82.74,28.39
2021-04-05T12:22:22.438,-82.03,-82.76,27.81
2021-04-05T12:22:22.500,-82.03,-82.80,27.39
2021-04-05T12:22:22.563,-83.05,-82.72,28.75
2021-04-05T12:22:22.625,-82.60,-82.69,28.15
2021-04-05T12:22:22.688,-81.11,-82.80,26.14
2021-04-05T12:22:22.750,-81.85,-82.98,27.86
2021-04-05T12:22:22.813,-81.57,-82.79,27.43
2021-04-05T12:22:22.875,-82.38,-82.90,27.54
2021-04-05T12:22:22.938,-81.51,-82.83,27.33
2021-04-05T12:22:23.000,-82.43,-82.88,27.45
2021-04-05T12:22:23.063,-82.03,-82.80,27.63
2021-04-05T12:22:23.125,-82.20,-82.64,28.07
2021-04-05T12:22:23.188,-82.90,-82.86,27.83
2021-04-05T12:22:23.250,-82.03,-82.77,27.33
2021-04-05T12:22:23.313,-80.20,-82.77,25.55
2021-04-05T12:22:23.375,-81.57,-82.79,27.04
2021-04-05T12:22:23.438,-80.52,-82.89,25.63
2021-04-05T12:22:23.500,-82.43,-82.87,28.07
2021-04-05T12:22:23.563,-81.18,-82.74,26.58
2021-04-05T12:22:23.625,-82.03,-82.80,27.72
2021-04-05T12:22:23.688,-81.97,-82.83,26.78
2021-04-05T12:22:23.750,-81.57,-82.80,27.23
2021-04-05T12:22:23.813,-82.49,-82.80,26.99
2021-04-05T12:22:23.875,-81.51,-82.86,26.84
2021-04-05T12:22:23.938,-82.31,-82.54,27.59
2021-04-05T12:22:24.000,-81.05,-82.86,26.94
2021-04-05T12:22:24.063,-83.00,-82.75,28.14
2021-04-05T12:22:24.125,-81.05,-82.85,26.30
2021-04-05T12:22:24.188,-82.55,-82.72,27.81
2021-04-05T12:22:24.250,-82.54,-82.75,27.83
2021-04-05T12:22:24.313,-81.97,-82.87,26.11
2021-04-05T12:22:24.375,-82.38,-82.93,27.39
2021-04-05T12:22:24.438,-81.97,-82.86,26.52
2021-04-05T12:22:24.500,-81.05,-82.83,26.26
2021-04-05T12:22:24.563,-81.97,-82.83,26.81
2021-04-05T12:22:24.625,-82.03,-82.79,26.66
2021-04-05T12:22:24.688,-81.57,-82.79,25.67
2021-04-05T12:22:24.750,-81.18,-82.72,24.39
2021-04-05T12:22:24.813,-81.57,-82.81,24.94
2021-04-05T12:22:24.875,-82.43,-82.85,24.92
2021-04-05T12:22:24.938,-81.45,-82.89,24.85
2021-04-05T12:22:25.000,-81.11,-82.79,24.75
2021-04-05T12:22:25.063,-82.09,-82.74,24.98
2021-04-05T12:22:25.125,-81.51,-82.82,25.54
2021-04-05T12:22:25.188,-83.05,-82.72,27.47
2021-04-05T12:22:25.250,-82.03,-82.79,26.99
2021-04-05T12:22:25.313,-81.57,-82.80,26.37
2021-04-05T12:22:25.375,-82.65,-82.67,27.55
2021-04-05T12:22:25.438,-81.45,-82.89,27.41
2021-04-05T12:22:25.500,-82.15,-82.66,27.55
2021-04-05T12:22:25.563,-82.49,-82.80,27.35
2021-04-05T12:22:25.625,-81.91,-82.91,26.56
2021-04-05T12:22:25.688,-81.97,-82.87,27.08
2021-04-05T12:22:25.750,-82.54,-82.75,26.55
2021-04-05T12:22:25.813,-81.63,-82.72,26.43
2021-04-05T12:22:25.875,-80.98,-82.89,24.83
2021-04-05T12:22:25.938,-82.43,-82.86,27.80
2021-04-05T12:22:26.000,-81.12,-82.78,25.91
2021-04-05T12:22:26.063,-81.91,-82.93,27.09
2021-04-05T12:22:26.125,-82.09,-82.73,26.17
2021-04-05T12:22:26.188,-81.12,-82.77,25.91
2021-04-05T12:22:26.250,-80.84,-83.02,25.59
2021-04-05T12:22:26.313,-81.25,-82.65,24.82
2021-04-05T12:22:26.375,-82.55,-82.72,26.86
2021-04-05T12:22:26.438,-82.09,-82.76,26.50
2021-04-05T12:22:26.500,-83.46,-82.76,27.06
2021-04-05T12:22:26.563,-82.15,-82.69,26.20
2021-04-05T12:22:26.625,-81.91,-82.90,25.87
2021-04-05T12:22:26.688,-81.51,-82.85,26.01
2021-04-05T12:22:26.750,-81.57,-82.79,26.60
2021-04-05T12:22:26.813,-80.98,-82.90,25.82
2021-04-05T12:22:26.875,-82.03,-82.80,26.84
2021-04-05T12:22:26.938,-81.57,-82.82,25.86
2021-04-05T12:22:27.000,-81.51,-82.87,25.98
2021-04-05T12:22:27.063,-82.15,-82.67,26.52
2021-04-05T12:22:27.125,-82.03,-82.80,25.91
2021-04-05T12:22:27.188,-81.63,-82.76,26.81
2021-04-05T12:22:27.250,-82.15,-82.68,26.75
2021-04-05T12:22:27.313,-82.49,-82.83,26.65
