ISO 8601 Time,Ax (g),Ay (g),Az (g),Mx (mG),My (mG),Mz (mG)
2021-04-05T12:18:51.000,0.97392,-0.11977,0.01802,205.12,126.56,-110.68
2021-04-05T12:18:51.063,0.97096,-0.11882,0.01404,207.62,126.57,-109.77
2021-04-05T12:18:51.125,0.97290,-0.11775,0.02097,207.62,127.44,-111.59
2021-04-05T12:18:51.188,0.97291,-0.11778,0.01700,208.45,125.68,-110.69
2021-04-05T12:18:51.250,0.97489,-0.11875,0.01999,206.79,126.58,-107.94
2021-04-05T12:18:51.313,0.97291,-0.11777,0.01899,207.62,125.69,-109.78
2021-04-05T12:18:51.375,0.97193,-0.11877,0.01900,205.12,127.47,-107.93
2021-04-05T12:18:51.438,0.97592,-0.12177,0.01606,205.12,126.57,-108.85
2021-04-05T12:18:51.500,0.97392,-0.11978,0.01703,208.46,127.45,-110.68
2021-04-05T12:18:51.563,0.97591,-0.12076,0.01803,207.62,127.47,-107.93
2021-04-05T12:18:51.625,0.97192,-0.11777,0.01899,205.96,129.21,-110.66
2021-04-05T12:18:51.688,0.97194,-0.11977,0.01901,205.95,127.44,-110.67
2021-04-05T12:18:51.750,0.97491,-0.11977,0.01703,207.62,127.45,-110.68
2021-04-05T12:18:51.813,0.97097,-0.12079,0.01704,205.95,127.45,-109.76
2021-04-05T12:18:51.875,0.97390,-0.11777,0.01799,205.12,127.46,-108.85
2021-04-05T12:18:51.938,0.97492,-0.12075,0.01902,204.29,129.20,-111.57
2021-04-05T12:18:52.000,0.97590,-0.12075,0.01902,205.95,126.57,-109.77
2021-04-05T12:18:52.063,0.97190,-0.11578,0.01797,204.28,126.56,-110.68
2021-04-05T12:18:52.125,0.97392,-0.11977,0.01802,205.95,127.44,-110.67
2021-04-05T12:18:52.188,0.97296,-0.12178,0.01705,207.62,126.56,-110.68
2021-04-05T12:18:52.250,0.97293,-0.11977,0.01802,207.62,126.58,-108.86
2021-04-05T12:18:52.313,0.97196,-0.12079,0.01704,205.96,128.33,-110.67
2021-04-05T12:18:52.375,0.97097,-0.12077,0.01902,205.12,127.44,-110.67
2021-04-05T12:18:52.438,0.97590,-0.11977,0.01703,208.45,125.68,-110.69
2021-04-05T12:18:52.500,0.97393,-0.12077,0.01704,208.46,126.57,-109.77
2021-04-05T12:18:52.563,0.97587,-0.11776,0.01800,207.62,127.46,-108.85
2021-04-05T12:18:52.625,0.97394,-0.12078,0.01605,205.95,126.56,-110.68
2021-04-05T12:18:52.688,0.97394,-0.12175,0.02003,205.95,127.45,-109.76
2021-04-05T12:18:52.750,0.97193,-0.11878,0.01801,206.79,127.43,-112.50
2021-04-05T12:18:52.813,0.97297,-0.12279,0.01607,209.29,126.57,-109.77
2021-04-05T12:18:52.875,0.97195,-0.12077,0.01902,205.95,124.80,-109.78
2021-04-05T12:18:52.938,0.97393,-0.12077,0.01704,205.95,126.54,-112.51
2021-04-05T12:18:53.000,0.97392,-0.11978,0.01603,205.12,129.23,-108.83
2021-04-05T12:18:53.063,0.97296,-0.12178,0.01705,209.29,127.47,-107.93
2021-04-05T12:18:53.125,0.97292,-0.11877,0.01801,205.12,125.66,-111.60
2021-04-05T12:18:53.188,0.97391,-0.11877,0.01801,205.95,127.44,-110.67
2021-04-05T12:18:53.250,0.97191,-0.11678,0.01798,205.12,128.32,-111.58
2021-04-05T12:18:53.313,0.97492,-0.12078,0.01605,207.62,126.58,-108.86
2021-04-05T12:18:53.375,0.97095,-0.11878,0.01800,206.79,126.57,-109.77
2021-04-05T12:18:53.438,0.97491,-0.11975,0.01901,206.79,125.68,-109.78
2021-04-05T12:18:53.500,0.96995,-0.11781,0.01601,204.28,125.67,-110.69
2021-04-05T12:18:53.563,0.97293,-0.11976,0.01901,205.95,128.35,-107.92
2021-04-05T12:18:53.625,0.97487,-0.11579,0.01499,207.62,125.69,-109.78
2021-04-05T12:18:53.688,0.97293,-0.11978,0.01703,206.78,125.73,-105.21
2021-04-05T12:18:53.750,0.96996,-0.11879,0.01800,204.28,126.56,-110.68
2021-04-05T12:18:53.813,0.97490,-0.11876,0.01801,205.95,126.58,-107.94
2021-04-05T12:18:53.875,0.97096,-0.11980,0.01603,209.29,124.80,-110.70
2021-04-05T12:18:53.938,0.97587,-0.11776,0.01800,208.45,125.71,-107.04
2021-04-05T12:18:54.000,0.96995,-0.11780,0.01700,205.95,125.68,-109.78
2021-04-05T12:18:54.063,0.97195,-0.12077,0.01902,206.78,125.70,-107.95
2021-04-05T12:18:54.125,0.97491,-0.11978,0.01603,205.95,125.67,-110.69
2021-04-05T12:18:54.188,0.97095,-0.11880,0.01602,204.28,123.89,-111.62
2021-04-05T12:18:54.250,0.97491,-0.11979,0.01504,205.95,123.91,-110.71
2021-04-05T12:18:54.313,0.97394,-0.12078,0.01605,205.95,126.58,-107.94
2021-04-05T12:18:54.375,0.97392,-0.11978,0.01603,205.96,129.21,-110.66
2021-04-05T12:18:54.438,0.97195,-0.12077,0.01902,205.12,125.66,-111.60
2021-04-05T12:18:54.500,0.97192,-0.11778,0.01799,207.62,125.68,-110.69
2021-04-05T12:18:54.563,0.97095,-0.11879,0.01701,205.95,125.69,-108.86
2021-04-05T12:18:54.625,0.97296,-0.12177,0.01804,206.79,127.44,-111.59
2021-04-05T12:18:54.688,0.97195,-0.11980,0.01603,207.62,128.33,-110.67
2021-04-05T12:18:54.750,0.97292,-0.11878,0.01701,208.46,127.45,-110.68
2021-04-05T12:18:54.813,0.97391,-0.11879,0.01602,208.45,125.69,-108.86
2021-04-05T12:18:54.875,0.97295,-0.12078,0.01704,205.95,126.58,-108.85
2021-04-05T12:18:54.938,0.97295,-0.12078,0.01704,207.62,128.34,-109.75
2021-04-05T12:18:55.000,0.97196,-0.12078,0.01803,208.45,125.68,-110.69
2021-04-05T12:18:55.063,0.97096,-0.11978,0.01802,203.45,125.67,-110.69
2021-04-05T12:18:55.125,0.97590,-0.11976,0.01802,205.95,124.80,-109.78
2021-04-05T12:18:55.188,0.97196,-0.12079,0.01604,207.62,127.45,-109.76
2021-04-05T12:18:55.250,0.97491,-0.11976,0.01802,205.12,127.45,-109.76
2021-04-05T12:18:55.313,0.97586,-0.11677,0.01699,208.46,127.45,-110.68
2021-04-05T12:18:55.375,0.97591,-0.12078,0.01506,205.95,125.67,-111.60
2021-04-05T12:18:55.438,0.97293,-0.11976,0.01901,205.12,124.79,-110.70
2021-04-05T12:18:55.500,0.97295,-0.12079,0.01605,205.95,123.03,-109.80
2021-04-05T12:18:55.563,0.97293,-0.11977,0.01802,205.12,126.54,-112.51
2021-04-05T12:18:55.625,0.97391,-0.11877,0.01801,205.95,127.46,-108.85
2021-04-05T12:18:55.688,0.97194,-0.11879,0.01701,205.95,125.69,-108.86
2021-04-05T12:18:55.750,0.97192,-0.11777,0.01899,208.46,126.57,-109.77
2021-04-05T12:18:55.813,0.97292,-0.11878,0.01701,207.62,125.69,-108.86
2021-04-05T12:18:55.875,0.97097,-0.12079,0.01704,206.78,123.92,-108.88
2021-04-05T12:18:55.938,0.97590,-0.11976,0.01802,210.13,127.47,-107.93
2021-04-05T12:18:56.000,0.97590,-0.11977,0.01703,206.79,127.44,-111.59
2021-04-05T12:18:56.063,0.97490,-0.11876,0.01801,206.79,128.33,-110.67
2021-04-05T12:18:56.125,0.97096,-0.11979,0.01702,207.63,129.21,-110.66
2021-04-05T12:18:56.188,0.97489,-0.11875,0.01900,208.46,126.55,-111.60
2021-04-05T12:18:56.250,0.97487,-0.11676,0.01898,206.79,127.44,-110.67
2021-04-05T12:18:56.313,0.97293,-0.11978,0.01703,204.28,127.45,-109.76
2021-04-05T12:18:56.375,0.97292,-0.11877,0.01801,205.12,128.33,-109.75
2021-04-05T12:18:56.438,0.97294,-0.12077,0.01803,205.96,128.31,-112.49
2021-04-05T12:18:56.500,0.97391,-0.11876,0.01900,206.79,125.68,-110.69
2021-04-05T12:18:56.563,0.96899,-0.12079,0.01803,206.78,123.90,-111.62
2021-04-05T12:18:56.625,0.97588,-0.11875,0.01900,207.62,128.34,-109.75
2021-04-05T12:18:56.688,0.97195,-0.12077,0.01902,206.79,126.57,-109.77
2021-04-05T12:18:56.750,0.97097,-0.12080,0.01604,206.79,125.68,-110.69
2021-04-05T12:18:56.813,0.97393,-0.12077,0.01704,208.46,126.55,-111.60
2021-04-05T12:18:56.875,0.97389,-0.11775,0.01998,207.62,125.69,-109.78
2021-04-05T12:18:56.938,0.97095,-0.11879,0.01701,205.95,127.48,-107.02
2021-04-05T12:18:57.000,0.97491,-0.11976,0.01802,205.12,129.24,-107.00
2021-04-05T12:18:57.063,0.97392,-0.11978,0.01603,205.12,127.44,-110.67
2021-04-05T12:18:57.125,0.97588,-0.11875,0.01900,203.45,128.33,-109.75
2021-04-05T12:18:57.188,0.97294,-0.12077,0.01803,206.79,130.11,-109.74
2021-04-05T12:18:57.250,0.97195,-0.11980,0.01603,205.95,126.55,-111.60
2021-04-05T12:18:57.313,0.97592,-0.12177,0.01606,205.95,126.57,-109.77
2021-04-05T12:18:57.375,0.97591,-0.12076,0.01704,205.95,127.47,-107.93
2021-04-05T12:18:57.438,0.97495,-0.12278,0.01607,208.46,127.46,-108.85
2021-04-05T12:18:57.500,0.97094,-0.11779,0.01700,206.78,124.81,-108.87
2021-04-05T12:18:57.563,0.97196,-0.12079,0.01704,207.62,125.68,-110.69
2021-04-05T12:18:57.625,0.97096,-0.11980,0.01603,206.79,126.58,-108.85
2021-04-05T12:18:57.688,0.96996,-0.11880,0.01701,207.62,125.67,-111.61
2021-04-05T12:18:57.750,0.97489,-0.11875,0.01900,205.95,126.58,-107.94
2021-04-05T12:18:57.813,0.97392,-0.11977,0.01802,206.79,126.58,-108.85
2021-04-05T12:18:57.875,0.97192,-0.11778,0.01799,208.45,125.68,-110.69
2021-04-05T12:18:57.938,0.97292,-0.11876,0.01999,206.79,127.44,-111.59
2021-04-05T12:18:58.000,0.97195,-0.12077,0.01902,205.12,126.58,-107.94
2021-04-05T12:18:58.063,0.97194,-0.11879,0.01701,207.62,126.57,-109.77
2021-04-05T12:18:58.125,0.97490,-0.11877,0.01702,205.95,127.44,-110.67
2021-04-05T12:18:58.188,0.97292,-0.11877,0.01801,207.62,125.67,-111.61
2021-04-05T12:18:58.250,0.97589,-0.11877,0.01702,207.62,126.55,-111.60
2021-04-05T12:18:58.313,0.97392,-0.11977,0.01802,208.46,127.45,-110.68
2021-04-05T12:18:58.375,0.96798,-0.11879,0.01899,206.78,124.82,-107.96
2021-04-05T12:18:58.438,0.97394,-0.12079,0.01505,205.12,128.34,-108.84
2021-04-05T12:18:58.500,0.97491,-0.11977,0.01703,210.13,128.33,-111.58
2021-04-05T12:18:58.563,0.97492,-0.12078,0.01605,207.62,124.79,-110.70
2021-04-05T12:18:58.625,0.97391,-0.11877,0.01801,210.96,127.47,-108.85
2021-04-05T12:18:58.688,0.97493,-0.12178,0.01606,208.46,126.56,-110.68
2021-04-05T12:18:58.750,0.97196,-0.12079,0.01604,206.79,125.68,-109.78
2021-04-05T12:18:58.813,0.97191,-0.11678,0.01798,206.79,127.45,-109.76
2021-04-05T12:18:58.875,0.97192,-0.11778,0.01799,208.46,127.46,-108.85
2021-04-05T12:18:58.938,0.97586,-0.11676,0.01798,206.79,128.35,-108.84
2021-04-05T12:18:59.000,0.97292,-0.11878,0.01701,207.62,126.56,-110.68
2021-04-05T12:18:59.063,0.97392,-0.11975,0.02000,203.45,126.57,-108.85
2021-04-05T12:18:59.125,0.97394,-0.12176,0.01804,205.95,127.44,-110.67
2021-04-05T12:18:59.188,0.97293,-0.11978,0.01703,205.12,127.43,-111.59
2021-04-05T12:18:59.250,0.97195,-0.11978,0.01802,207.62,127.44,-111.59
2021-04-05T12:18:59.313,0.97590,-0.11977,0.01703,206.79,126.55,-111.60
2021-04-05T12:18:59.375,0.97094,-0.11877,0.01999,205.12,128.35,-107.92
2021-04-05T12:18:59.438,0.97392,-0.11978,0.01703,206.79,125.68,-109.78
2021-04-05T12:18:59.500,0.97293,-0.11977,0.01802,205.96,129.20,-111.57
2021-04-05T12:18:59.563,0.97095,-0.11878,0.01800,205.95,127.44,-110.67
2021-04-05T12:18:59.625,0.97292,-0.11878,0.01701,209.29,128.33,-110.67
2021-04-05T12:18:59.688,0.97096,-0.11979,0.01702,207.62,125.68,-110.69
2021-04-05T12:18:59.750,0.96995,-0.11778,0.01898,208.46,127.46,-108.85
