ISO 8601 Time,Roll (degrees),Pitch (degrees),Yaw (degrees)
2021-04-05T12:18:51.000,-81.44,-82.91,28.65
2021-04-05T12:18:51.063,-83.26,-82.98,30.03
2021-04-05T12:18:51.125,-79.90,-82.99,27.34
2021-04-05T12:18:51.188,-81.79,-83.03,29.11
2021-04-05T12:18:51.250,-80.44,-82.96,27.09
2021-04-05T12:18:51.313,-80.84,-83.01,28.06
2021-04-05T12:18:51.375,-80.91,-82.95,27.36
2021-04-05T12:18:51.438,-82.49,-82.83,29.09
2021-04-05T12:18:51.500,-81.91,-82.92,28.85
2021-04-05T12:18:51.563,-81.51,-82.87,27.81
2021-04-05T12:18:51.625,-80.84,-83.00,27.66
2021-04-05T12:18:51.688,-80.98,-82.89,28.06
2021-04-05T12:18:51.750,-81.91,-82.93,28.86
2021-04-05T12:18:51.813,-81.97,-82.84,28.69
2021-04-05T12:18:51.875,-81.31,-83.03,27.98
2021-04-05T12:18:51.938,-81.05,-82.85,28.03
2021-04-05T12:18:52.000,-81.05,-82.86,28.04
2021-04-05T12:18:52.063,-81.18,-83.13,28.53
2021-04-05T12:18:52.125,-81.44,-82.91,28.48
2021-04-05T12:18:52.188,-82.03,-82.80,29.07
2021-04-05T12:18:52.250,-81.44,-82.90,28.16
2021-04-05T12:18:52.313,-81.97,-82.85,28.75
2021-04-05T12:18:52.375,-81.05,-82.82,28.10
2021-04-05T12:18:52.438,-81.91,-82.93,29.18
2021-04-05T12:18:52.500,-81.97,-82.86,28.81
2021-04-05T12:18:52.563,-81.31,-83.04,27.94
2021-04-05T12:18:52.625,-82.43,-82.87,29.49
2021-04-05T12:18:52.688,-80.66,-82.78,27.50
2021-04-05T12:18:52.750,-81.38,-82.95,28.87
2021-04-05T12:18:52.813,-82.54,-82.75,29.25
2021-04-05T12:18:52.875,-81.05,-82.83,28.36
2021-04-05T12:18:52.938,-81.97,-82.86,29.52
2021-04-05T12:18:53.000,-82.38,-82.93,28.56
2021-04-05T12:18:53.063,-82.03,-82.80,28.21
2021-04-05T12:18:53.125,-81.38,-82.96,29.01
2021-04-05T12:18:53.188,-81.38,-82.97,28.44
2021-04-05T12:18:53.250,-81.25,-83.07,28.45
2021-04-05T12:18:53.313,-82.43,-82.88,29.02
2021-04-05T12:18:53.375,-81.38,-82.95,28.36
2021-04-05T12:18:53.438,-80.98,-82.91,28.15
2021-04-05T12:18:53.500,-82.26,-83.01,29.61
2021-04-05T12:18:53.563,-80.98,-82.90,27.23
2021-04-05T12:18:53.625,-82.62,-83.17,29.72
2021-04-05T12:18:53.688,-81.91,-82.91,27.84
2021-04-05T12:18:53.750,-81.38,-82.94,28.63
2021-04-05T12:18:53.813,-81.38,-82.98,27.94
2021-04-05T12:18:53.875,-82.38,-82.90,29.73
2021-04-05T12:18:53.938,-81.31,-83.04,27.80
2021-04-05T12:18:54.000,-81.79,-83.00,28.93
2021-04-05T12:18:54.063,-81.05,-82.83,27.73
2021-04-05T12:18:54.125,-82.38,-82.93,29.64
2021-04-05T12:18:54.188,-82.32,-82.96,30.19
2021-04-05T12:18:54.250,-82.84,-82.94,30.38
2021-04-05T12:18:54.313,-82.43,-82.87,28.82
2021-04-05T12:18:54.375,-82.38,-82.93,28.99
2021-04-05T12:18:54.438,-81.05,-82.83,28.65
2021-04-05T12:18:54.500,-81.31,-83.01,28.70
2021-04-05T12:18:54.563,-81.85,-82.95,28.73
2021-04-05T12:18:54.625,-81.57,-82.79,28.74
2021-04-05T12:18:54.688,-82.38,-82.91,29.11
2021-04-05T12:18:54.750,-81.85,-82.97,28.82
2021-04-05T12:18:54.813,-82.32,-82.98,29.12
2021-04-05T12:18:54.875,-81.97,-82.85,28.63
2021-04-05T12:18:54.938,-81.97,-82.85,28.50
2021-04-05T12:18:55.000,-81.51,-82.84,28.78
2021-04-05T12:18:55.063,-81.45,-82.89,28.84
2021-04-05T12:18:55.125,-81.44,-82.93,28.75
2021-04-05T12:18:55.188,-82.43,-82.85,29.07
2021-04-05T12:18:55.250,-81.44,-82.92,28.27
2021-04-05T12:18:55.313,-81.72,-83.11,28.77
2021-04-05T12:18:55.375,-82.89,-82.89,30.30
2021-04-05T12:18:55.438,-80.98,-82.90,28.56
2021-04-05T12:18:55.500,-82.43,-82.86,29.92
2021-04-05T12:18:55.563,-81.44,-82.90,29.09
2021-04-05T12:18:55.625,-81.38,-82.97,28.00
2021-04-05T12:18:55.688,-81.85,-82.96,28.74
2021-04-05T12:18:55.750,-80.84,-83.00,27.88
2021-04-05T12:18:55.813,-81.85,-82.97,28.71
2021-04-05T12:18:55.875,-81.97,-82.84,29.10
2021-04-05T12:18:55.938,-81.44,-82.93,27.74
2021-04-05T12:18:56.000,-81.91,-82.93,29.10
2021-04-05T12:18:56.063,-81.38,-82.98,28.27
2021-04-05T12:18:56.125,-81.91,-82.90,28.53
2021-04-05T12:18:56.188,-80.91,-82.97,28.37
2021-04-05T12:18:56.250,-80.77,-83.08,27.94
2021-04-05T12:18:56.313,-81.91,-82.91,28.70
2021-04-05T12:18:56.375,-81.38,-82.96,28.07
2021-04-05T12:18:56.438,-81.51,-82.85,28.78
2021-04-05T12:18:56.500,-80.91,-82.96,28.34
2021-04-05T12:18:56.563,-81.51,-82.82,29.35
2021-04-05T12:18:56.625,-80.91,-82.97,27.62
2021-04-05T12:18:56.688,-81.05,-82.83,28.01
2021-04-05T12:18:56.750,-82.43,-82.85,29.63
2021-04-05T12:18:56.813,-81.97,-82.86,29.26
2021-04-05T12:18:56.875,-80.37,-83.01,27.64
2021-04-05T12:18:56.938,-81.85,-82.95,27.96
2021-04-05T12:18:57.000,-81.44,-82.92,27.28
2021-04-05T12:18:57.063,-82.38,-82.93,29.32
2021-04-05T12:18:57.125,-80.91,-82.97,27.69
2021-04-05T12:18:57.188,-81.51,-82.85,27.79
2021-04-05T12:18:57.250,-82.38,-82.91,29.69
2021-04-05T12:18:57.313,-82.49,-82.83,29.30
2021-04-05T12:18:57.375,-81.97,-82.88,28.25
2021-04-05T12:18:57.438,-82.54,-82.76,28.88
2021-04-05T12:18:57.500,-81.79,-83.01,28.86
2021-04-05T12:18:57.563,-81.97,-82.85,29.21
2021-04-05T12:18:57.625,-82.38,-82.90,29.00
2021-04-05T12:18:57.688,-81.85,-82.95,29.37
2021-04-05T12:18:57.750,-80.91,-82.97,27.52
2021-04-05T12:18:57.813,-81.44,-82.91,28.18
2021-04-05T12:18:57.875,-81.31,-83.01,28.69
2021-04-05T12:18:57.938,-80.45,-82.94,27.81
2021-04-05T12:18:58.000,-81.05,-82.83,27.59
2021-04-05T12:18:58.063,-81.85,-82.96,28.77
2021-04-05T12:18:58.125,-81.85,-82.98,28.87
2021-04-05T12:18:58.188,-81.38,-82.96,28.96
2021-04-05T12:18:58.250,-81.85,-82.99,29.22
2021-04-05T12:18:58.313,-81.44,-82.91,28.43
2021-04-05T12:18:58.375,-80.92,-82.92,27.81
2021-04-05T12:18:58.438,-82.90,-82.88,29.15
2021-04-05T12:18:58.500,-81.91,-82.93,28.88
2021-04-05T12:18:58.563,-82.43,-82.88,29.79
2021-04-05T12:18:58.625,-81.38,-82.97,27.91
2021-04-05T12:18:58.688,-82.49,-82.82,29.47
2021-04-05T12:18:58.750,-82.43,-82.85,29.41
2021-04-05T12:18:58.813,-81.25,-83.07,28.14
2021-04-05T12:18:58.875,-81.31,-83.01,27.92
2021-04-05T12:18:58.938,-81.24,-83.10,27.76
2021-04-05T12:18:59.000,-81.85,-82.97,28.99
2021-04-05T12:18:59.063,-80.52,-82.89,27.41
2021-04-05T12:18:59.125,-81.57,-82.80,28.53
2021-04-05T12:18:59.188,-81.91,-82.91,29.13
2021-04-05T12:18:59.250,-81.45,-82.90,28.66
2021-04-05T12:18:59.313,-81.91,-82.93,29.27
2021-04-05T12:18:59.375,-80.45,-82.93,26.78
2021-04-05T12:18:59.438,-81.91,-82.92,28.98
2021-04-05T12:18:59.500,-81.44,-82.90,28.37
2021-04-05T12:18:59.563,-81.38,-82.95,28.44
2021-04-05T12:18:59.625,-81.85,-82.97,28.64
2021-04-05T12:18:59.688,-81.91,-82.90,29.18
2021-04-05T12:18:59.750,-80.84,-82.99,27.49
2021-04-05T12:18:59.813,-81.51,-82.85,28.62
2021-04-05T12:18:59.875,-81.85,-82.97,28.62
2021-04-05T12:18:59.938,-82.09,-82.73,29.14
2021-04-05T12:19:00.000,-81.12,-82.78,27.90
2021-04-05T12:19:00.063,-81.57,-82.80,27.98
2021-04-05T12:19:00.125,-81.38,-82.96,28.24
2021-04-05T12:19:00.188,-80.59,-82.82,27.51
2021-04-05T12:19:00.250,-80.77,-83.05,28.42
2021-04-05T12:19:00.313,-81.38,-82.95,28.19
2021-04-05T12:19:00.375,-81.85,-82.97,29.58
2021-04-05T12:19:00.438,-82.43,-82.85,30.17
2021-04-05T12:19:00.500,-81.12,-82.77,28.16
2021-04-05T12:19:00.563,-82.32,-83.01,28.59
2021-04-05T12:19:00.625,-79.59,-82.88,26.54
2021-04-05T12:19:00.688,-82.90,-82.87,29.74
2021-04-05T12:19:00.750,-82.43,-82.87,30.04
2021-04-05T12:19:00.813,-81.97,-82.86,28.87
2021-04-05T12:19:00.875,-81.44,-82.90,27.59
2021-04-05T12:19:00.938,-81.44,-82.93,28.23
2021-04-05T12:19:01.000,-81.97,-82.85,28.57
2021-04-05T12:19:01.063,-81.85,-82.98,28.29
2021-04-05T12:19:01.125,-81.91,-82.92,28.80
