ISO 8601 Time,Ax (g),Ay (g),Az (g),Mx (mG),My (mG),Mz (mG)
2021-04-05T12:08:29.000,0.97844,0.09206,0.01845,211.26,-137.25,149.19
2021-04-05T12:08:29.063,0.97170,0.16398,0.02254,210.43,-134.63,146.47
2021-04-05T12:08:29.125,0.97626,0.11004,0.02022,213.77,-134.63,145.56
2021-04-05T12:08:29.188,0.97337,0.10403,0.02029,212.93,-137.26,148.28
2021-04-05T12:08:29.250,0.97125,0.11701,0.02013,211.26,-136.40,145.54
2021-04-05T12:08:29.313,0.97408,0.12802,0.02099,213.77,-134.64,144.64
2021-04-05T12:08:29.375,0.97507,0.12802,0.02100,211.26,-136.35,151.03
2021-04-05T12:08:29.438,0.97407,0.12903,0.02197,211.26,-134.61,148.30
2021-04-05T12:08:29.500,0.97213,0.12603,0.02300,212.93,-135.48,149.21
2021-04-05T12:08:29.563,0.97414,0.12302,0.02006,212.93,-134.60,149.22
2021-04-05T12:08:29.625,0.97415,0.12204,0.02305,213.77,-135.48,149.21
2021-04-05T12:08:29.688,0.97117,0.12401,0.02104,213.77,-134.61,147.39
2021-04-05T12:08:29.750,0.96821,0.12398,0.02005,213.77,-134.58,151.04
2021-04-05T12:08:29.813,0.97315,0.12302,0.02105,212.93,-134.62,146.47
2021-04-05T12:08:29.875,0.97515,0.12102,0.02009,210.43,-133.73,147.40
2021-04-05T12:08:29.938,0.97021,0.12101,0.02108,212.09,-137.26,148.28
2021-04-05T12:08:30.000,0.97807,0.12505,0.02203,213.77,-134.61,148.30
2021-04-05T12:08:30.063,0.97355,0.08902,0.01650,213.77,-135.51,145.55
2021-04-05T12:08:30.125,0.97108,0.13200,0.02094,214.61,-132.84,147.40
2021-04-05T12:08:30.188,0.97752,0.08705,0.01752,213.77,-135.47,151.03
2021-04-05T12:08:30.250,0.97365,0.08002,0.01562,212.09,-137.26,148.28
2021-04-05T12:08:30.313,0.97315,0.12302,0.02105,213.76,-135.46,151.95
2021-04-05T12:08:30.375,0.97617,0.11803,0.02012,210.43,-136.37,149.20
2021-04-05T12:08:30.438,0.97424,0.11404,0.02116,213.77,-133.72,148.31
2021-04-05T12:08:30.500,0.97217,0.12300,0.01907,212.10,-135.50,147.38
2021-04-05T12:08:30.563,0.97716,0.11804,0.02012,210.42,-138.16,147.35
2021-04-05T12:08:30.625,0.97517,0.11904,0.02210,211.26,-136.36,150.11
2021-04-05T12:08:30.688,0.97224,0.11602,0.02114,212.93,-134.60,149.22
2021-04-05T12:08:30.750,0.97215,0.12402,0.02203,212.10,-137.28,146.45
2021-04-05T12:08:30.813,0.97421,0.11702,0.01914,210.43,-138.17,146.44
2021-04-05T12:08:30.875,0.97318,0.12101,0.02009,213.76,-138.17,145.52
2021-04-05T12:08:30.938,0.97021,0.12101,0.02108,210.42,-138.16,147.35
2021-04-05T12:08:31.000,0.97221,0.11901,0.02011,212.10,-137.27,147.36
2021-04-05T12:08:31.063,0.97524,0.11303,0.01919,211.26,-135.49,149.21
2021-04-05T12:08:31.125,0.97513,0.12301,0.01907,212.09,-136.34,151.94
2021-04-05T12:08:31.188,0.97616,0.11903,0.02011,212.10,-136.38,148.28
2021-04-05T12:08:31.250,0.97315,0.12302,0.02105,211.26,-135.49,148.29
2021-04-05T12:08:31.313,0.97225,0.11600,0.01816,211.26,-134.62,147.39
2021-04-05T12:08:31.375,0.97523,0.11404,0.02116,212.93,-137.26,148.28
2021-04-05T12:08:31.438,0.97619,0.11604,0.02114,210.43,-136.40,145.54
2021-04-05T12:08:31.500,0.97530,0.10802,0.01826,212.93,-135.50,147.38
2021-04-05T12:08:31.563,0.96894,0.14886,0.00883,213.77,-133.73,147.39
2021-04-05T12:08:31.625,0.97526,0.11202,0.01821,212.10,-136.39,147.37
2021-04-05T12:08:31.688,0.97205,0.13398,0.01894,212.10,-137.27,147.36
2021-04-05T12:08:31.750,0.97710,0.12304,0.02106,211.26,-136.39,147.37
2021-04-05T12:08:31.813,0.97117,0.12401,0.02104,212.10,-132.82,150.15
2021-04-05T12:08:31.875,0.97223,0.11702,0.02113,212.93,-135.48,149.21
2021-04-05T12:08:31.938,0.97205,0.13491,0.01099,212.93,-134.60,149.22
2021-04-05T12:08:32.000,0.97301,0.13504,0.02488,213.77,-133.71,149.22
2021-04-05T12:08:32.063,0.97286,0.14614,0.03764,212.10,-131.06,149.25
2021-04-05T12:08:32.125,0.97507,0.13182,-0.00088,213.77,-133.71,149.22
2021-04-05T12:08:32.188,0.97143,0.09912,0.03027,209.60,-134.61,148.30
2021-04-05T12:08:32.250,0.97420,0.11705,0.02311,213.77,-134.65,143.73
2021-04-05T12:08:32.313,0.96868,0.16898,0.02546,214.60,-135.49,148.29
2021-04-05T12:08:32.375,0.97556,0.08791,0.00362,212.93,-135.49,148.29
2021-04-05T12:08:32.438,0.97312,0.12409,0.02898,213.77,-134.61,148.30
2021-04-05T12:08:32.500,0.96772,0.16409,0.03742,212.10,-133.75,145.57
2021-04-05T12:08:32.563,0.97127,0.11500,0.01916,213.77,-132.85,147.40
2021-04-05T12:08:32.625,0.97285,0.14999,0.02172,212.10,-132.85,147.40
2021-04-05T12:08:32.688,0.97058,0.07473,0.09506,202.06,-154.10,146.30
2021-04-05T12:08:32.750,0.97841,0.00238,0.04533,202.05,-159.39,148.07
2021-04-05T12:08:32.813,0.97416,0.11627,0.04693,202.05,-156.78,142.61
2021-04-05T12:08:32.875,0.97511,0.03710,0.01911,201.22,-156.77,144.44
2021-04-05T12:08:32.938,0.97698,0.04611,0.02000,199.55,-157.68,141.69
2021-04-05T12:08:33.000,0.97322,0.03009,0.01919,202.05,-157.67,142.61
2021-04-05T12:08:33.063,0.97501,0.04609,0.01900,197.88,-157.67,143.52
2021-04-05T12:08:33.125,0.98093,0.04613,0.02000,199.55,-158.53,145.34
2021-04-05T12:08:33.188,0.97515,0.03313,0.02214,198.71,-157.67,142.61
2021-04-05T12:08:33.250,0.97797,0.04611,0.02000,200.38,-157.67,142.61
2021-04-05T12:08:33.313,0.97904,0.03913,0.02008,202.05,-159.44,142.59
2021-04-05T12:08:33.375,0.97707,0.03911,0.01909,202.05,-160.30,144.41
2021-04-05T12:08:33.438,0.97901,0.04211,0.01905,199.55,-158.56,142.60
2021-04-05T12:08:33.500,0.97604,0.04212,0.02203,200.38,-160.32,142.58
2021-04-05T12:08:33.563,0.97805,0.03910,0.01810,201.21,-160.31,144.41
2021-04-05T12:08:33.625,0.97312,0.03810,0.02108,202.05,-160.29,146.24
2021-04-05T12:08:33.688,0.97605,0.04112,0.02105,197.88,-158.56,142.60
2021-04-05T12:08:33.750,0.97902,0.04111,0.01907,201.21,-160.31,143.50
2021-04-05T12:08:33.813,0.97707,0.03813,0.02208,197.05,-157.68,142.61
2021-04-05T12:08:33.875,0.98080,0.05717,0.02582,200.38,-156.76,145.36
2021-04-05T12:08:33.938,0.97632,0.01621,0.02829,200.38,-158.54,144.43
2021-04-05T12:08:34.000,0.97589,0.04463,0.07856,202.05,-161.21,141.66
2021-04-05T12:08:34.063,0.97637,0.01407,0.01344,201.21,-161.22,141.66
2021-04-05T12:08:34.125,0.97766,0.07120,0.03259,202.89,-157.65,144.43
2021-04-05T12:08:34.188,0.97866,0.07878,-0.01314,202.05,-157.67,142.61
2021-04-05T12:08:34.250,0.98473,0.05633,0.04072,199.55,-156.79,142.62
2021-04-05T12:08:34.313,0.97510,0.03526,0.03699,199.55,-155.89,143.54
2021-04-05T12:08:34.375,0.98011,0.02737,0.04503,201.21,-159.41,145.33
2021-04-05T12:08:34.438,0.97565,0.08467,-0.02313,201.22,-159.45,140.76
2021-04-05T12:08:34.500,0.97772,-0.03123,0.08443,202.05,-159.47,138.93
2021-04-05T12:08:34.563,0.97038,-0.00851,0.17049,202.88,-162.15,136.16
2021-04-05T12:08:34.625,0.97240,0.09157,0.07799,199.54,-166.61,132.47
2021-04-05T12:08:34.688,0.96863,0.10701,-0.08988,199.53,-172.83,128.75
2021-04-05T12:08:34.750,0.97272,0.09120,-0.07282,198.70,-173.78,122.35
2021-04-05T12:08:34.813,0.97839,0.10084,-0.00447,200.38,-170.23,122.38
2021-04-05T12:08:34.875,0.97936,-0.02221,0.19746,200.38,-170.24,121.46
2021-04-05T12:08:34.938,0.97841,0.12362,-0.13671,197.86,-175.54,123.24
2021-04-05T12:08:35.000,0.98488,0.04712,0.01701,195.36,-177.33,120.49
2021-04-05T12:08:35.063,0.98195,0.04411,0.01705,194.52,-179.10,121.39
2021-04-05T12:08:35.125,0.97920,0.02704,0.00931,198.70,-176.45,119.58
2021-04-05T12:08:35.188,0.98367,0.06423,0.03169,197.03,-174.67,121.43
2021-04-05T12:08:35.250,0.97710,0.03801,0.00819,197.03,-174.70,118.68
2021-04-05T12:08:35.313,0.97805,0.03627,0.03599,197.86,-177.36,117.74
2021-04-05T12:08:35.375,0.98030,0.01513,0.01739,199.54,-175.57,119.59
2021-04-05T12:08:35.438,0.97336,0.01710,0.01836,197.03,-175.58,118.67
2021-04-05T12:08:35.500,0.97707,0.03623,0.03202,200.37,-173.77,122.35
2021-04-05T12:08:35.563,0.97531,0.01914,0.02131,196.20,-176.47,118.67
2021-04-05T12:08:35.625,0.98091,0.04813,0.01998,196.20,-176.45,120.49
2021-04-05T12:08:35.688,0.97629,0.02012,0.01932,197.87,-175.59,117.76
2021-04-05T12:08:35.750,0.97812,0.03314,0.02115,197.03,-177.36,117.74
2021-04-05T12:08:35.813,0.97950,0.08512,0.02449,197.87,-173.78,121.43
2021-04-05T12:08:35.875,0.97635,0.01513,0.01938,199.53,-175.54,122.33
2021-04-05T12:08:35.938,0.98096,0.04412,0.01903,199.54,-175.57,119.59
2021-04-05T12:08:36.000,1.01743,-0.06233,0.15728,191.18,-183.53,120.43
2021-04-05T12:08:36.063,1.00057,-0.00121,-0.14413,176.12,-207.43,121.13
2021-04-05T12:08:36.125,0.97862,-0.09972,0.02274,174.45,-206.54,121.14
2021-04-05T12:08:36.188,0.97269,-0.09973,0.02571,172.77,-211.85,121.09
2021-04-05T12:08:36.250,0.97377,-0.10486,0.00990,172.78,-208.31,122.04
2021-04-05T12:08:36.313,0.97560,-0.09376,0.02068,170.28,-205.65,122.98
2021-04-05T12:08:36.375,0.97584,-0.10810,-0.01784,174.45,-203.87,122.99
2021-04-05T12:08:36.438,0.98496,-0.05827,0.07285,173.61,-208.31,121.12
2021-04-05T12:08:36.500,0.97759,-0.09381,0.01374,173.62,-207.43,121.13
2021-04-05T12:08:36.563,0.97853,-0.09173,0.02265,172.78,-207.40,124.79
2021-04-05T12:08:36.625,0.97648,-0.08571,0.02654,173.62,-205.66,121.15
2021-04-05T12:08:36.688,0.97932,-0.07473,0.02443,176.12,-206.52,123.88
2021-04-05T12:08:36.750,0.96895,-0.11776,0.02196,172.78,-205.66,121.15
2021-04-05T12:08:36.813,0.98274,-0.02773,0.02684,174.45,-205.66,121.15
2021-04-05T12:08:36.875,0.96539,-0.15177,0.01840,171.11,-209.21,120.20
2021-04-05T12:08:36.938,0.97636,-0.07377,0.02144,174.45,-210.08,121.11
2021-04-05T12:08:37.000,0.97840,-0.07975,0.02151,173.62,-206.55,120.23
2021-04-05T12:08:37.063,0.97367,-0.09778,0.01974,171.95,-206.53,122.97
2021-04-05T12:08:37.125,0.97379,-0.10778,0.01787,171.11,-210.97,121.10
2021-04-05T12:08:37.188,0.97855,-0.09373,0.02267,173.62,-207.45,118.39
2021-04-05T12:08:37.250,0.97853,-0.09172,0.02364,171.95,-205.66,121.15
2021-04-05T12:08:37.313,0.99240,-0.08517,-0.03299,172.78,-206.55,121.14
2021-04-05T12:08:37.375,0.98014,-0.05974,0.02425,175.28,-206.53,122.97
2021-04-05T12:08:37.438,0.97582,-0.11372,0.02291,171.94,-208.30,122.95
2021-04-05T12:08:37.500,0.96880,-0.10379,0.02080,171.94,-209.20,121.12
2021-04-05T12:08:37.563,0.97368,-0.09878,0.01975,171.11,-208.30,122.95
2021-04-05T12:08:37.625,0.97664,-0.09877,0.01876,171.94,-209.20,121.12
2021-04-05T12:08:37.688,0.98045,-0.08673,0.02259,171.11,-208.33,120.21
2021-04-05T12:08:37.750,0.97858,-0.09575,0.01972,170.28,-207.46,118.39
2021-04-05T12:08:37.813,0.97063,-0.09178,0.02165,171.11,-210.09,120.19
2021-04-05T12:08:37.875,0.98313,-0.06174,0.02229,170.27,-208.31,122.04
2021-04-05T12:08:37.938,0.97648,-0.08474,0.02355,171.11,-210.06,123.85
2021-04-05T12:08:38.000,0.98238,-0.08273,0.02155,169.44,-210.97,121.10
2021-04-05T12:08:38.063,0.97096,-0.12074,0.02299,169.44,-211.87,119.26
2021-04-05T12:08:38.125,0.97003,-0.12576,0.02007,169.44,-211.87,120.18
2021-04-05T12:08:38.188,0.98239,-0.08372,0.02255,173.61,-209.18,122.94
2021-04-05T12:08:38.250,0.97958,-0.09675,0.01973,173.61,-209.19,122.03
2021-04-05T12:08:38.313,0.96690,-0.11078,0.02187,172.77,-212.72,122.91
2021-04-05T12:08:38.375,0.97362,-0.09376,0.02167,167.76,-213.63,121.08
2021-04-05T12:08:38.438,0.96898,-0.12075,0.02299,167.76,-213.56,128.39
2021-04-05T12:08:38.500,0.98174,-0.11369,0.02291,168.60,-212.71,124.74
2021-04-05T12:08:38.563,0.98088,-0.12374,0.01609,167.77,-211.86,121.09
2021-04-05T12:08:38.625,0.97095,-0.12641,0.05878,170.27,-211.87,120.18
2021-04-05T12:08:38.688,0.97967,-0.10474,0.01983,171.94,-209.17,124.77
2021-04-05T12:08:38.750,0.99433,-0.09258,0.02961,169.43,-212.74,121.08
2021-04-05T12:08:38.813,0.94548,-0.13975,0.03411,167.76,-213.61,122.91
2021-04-05T12:08:38.875,0.98169,-0.10871,0.02087,169.43,-211.82,124.75
2021-04-05T12:08:38.938,0.97197,-0.12274,0.02202,171.10,-215.36,124.72
2021-04-05T12:08:39.000,0.97396,-0.12373,0.02204,168.60,-214.50,121.98
2021-04-05T12:08:39.063,0.97493,-0.12273,0.02103,168.60,-214.50,122.90
2021-04-05T12:08:39.125,0.97391,-0.11972,0.02298,167.76,-214.48,124.73
2021-04-05T12:08:39.188,0.97196,-0.13128,0.07174,170.27,-211.82,125.66
2021-04-05T12:08:39.250,0.98039,-0.07218,-0.02521,172.78,-208.27,125.70
2021-04-05T12:08:39.313,0.97212,-0.13573,0.02119,172.77,-213.60,123.82
2021-04-05T12:08:39.375,0.98232,-0.07769,0.02645,172.78,-210.06,123.85
2021-04-05T12:08:39.438,0.97220,-0.14273,0.02028,170.27,-213.62,121.99
2021-04-05T12:08:39.500,0.97745,-0.08373,0.02453,171.10,-212.69,126.57
2021-04-05T12:08:39.563,0.96929,-0.14774,0.02034,172.77,-211.84,122.92
2021-04-05T12:08:39.625,0.97273,-0.10275,0.02277,173.61,-210.04,125.68
2021-04-05T12:08:39.688,0.97571,-0.10472,0.02379,170.27,-211.82,125.66
2021-04-05T12:08:39.750,0.97301,-0.12675,0.02009,171.10,-212.71,124.74
2021-04-05T12:08:39.813,0.97397,-0.12474,0.02006,170.27,-210.94,124.76
2021-04-05T12:08:39.875,0.97390,-0.11873,0.02197,170.27,-212.72,122.91
2021-04-05T12:08:39.938,0.97390,-0.11874,0.02098,168.60,-211.83,123.84
2021-04-05T12:08:40.000,0.97187,-0.11373,0.02390,170.27,-210.05,124.77
2021-04-05T12:08:40.063,0.97588,-0.11873,0.02098,170.27,-211.81,126.58
2021-04-05T12:08:40.125,0.98077,-0.11469,0.02292,170.27,-210.96,122.93
2021-04-05T12:08:40.188,0.97387,-0.11574,0.02194,168.60,-212.72,123.83
2021-04-05T12:08:40.250,0.97093,-0.11775,0.02196,171.10,-213.60,123.82
2021-04-05T12:08:40.313,0.97584,-0.11572,0.02293,169.44,-210.95,123.84
2021-04-05T12:08:40.375,0.97784,-0.11772,0.02097,170.27,-213.58,125.65
2021-04-05T12:08:40.438,0.97685,-0.11773,0.02097,170.27,-212.71,124.74
2021-04-05T12:08:40.500,0.97779,-0.11372,0.02192,170.27,-211.82,124.75
2021-04-05T12:08:40.563,0.98117,-0.06372,0.02529,171.94,-210.05,124.76
2021-04-05T12:08:40.625,0.97692,-0.12373,0.02005,170.27,-210.91,127.50
2021-04-05T12:08:40.688,0.97203,-0.12775,0.02010,170.27,-212.71,124.74
2021-04-05T12:08:40.750,0.97848,-0.08674,0.02259,172.77,-210.05,124.76
2021-04-05T12:08:40.813,0.99391,-0.05467,0.02420,167.76,-214.47,125.64
2021-04-05T12:08:40.875,1.04277,-0.08865,-0.00612,169.43,-213.61,122.90
2021-04-05T12:08:40.938,1.02433,-0.12918,0.05191,168.60,-211.86,121.09
2021-04-05T12:08:41.000,1.07006,-0.06690,0.06310,171.11,-210.95,122.93
2021-04-05T12:08:41.063,0.98921,-0.16356,0.02550,171.10,-215.38,122.89
2021-04-05T12:08:41.125,0.97007,-0.12973,0.02310,167.76,-214.48,124.73
2021-04-05T12:08:41.188,0.97212,-0.13574,0.02019,169.43,-212.71,124.74
2021-04-05T12:08:41.250,0.97191,-0.11675,0.02096,168.60,-212.70,125.66
2021-04-05T12:08:41.313,0.97892,-0.13047,0.04593,170.27,-213.63,121.08
2021-04-05T12:08:41.375,0.97093,-0.11778,0.01898,171.94,-210.05,124.76
2021-04-05T12:08:41.438,0.96922,-0.14174,0.02126,171.94,-212.71,124.74
2021-04-05T12:08:41.500,0.99555,-0.11162,0.02290,171.94,-210.94,123.84
2021-04-05T12:08:41.563,0.97782,-0.11574,0.01897,174.45,-209.18,122.94
2021-04-05T12:08:41.625,0.96464,-0.08580,0.02356,172.77,-213.61,122.90
2021-04-05T12:08:41.688,0.97105,-0.12970,0.02607,169.43,-213.60,123.82
2021-04-05T12:08:41.750,0.97758,-0.09570,0.02567,170.27,-213.60,123.82
2021-04-05T12:08:41.813,0.95056,-0.14985,0.01836,170.27,-211.82,124.75
2021-04-05T12:08:41.875,0.97876,-0.11173,0.01991,170.27,-211.83,123.84
2021-04-05T12:08:41.938,0.97484,-0.11474,0.02094,166.93,-212.71,124.74
2021-04-05T12:08:42.000,0.97493,-0.12174,0.02003,167.76,-211.83,124.75
2021-04-05T12:08:42.063,0.97389,-0.11868,0.02793,168.60,-214.49,123.81
2021-04-05T12:08:42.125,0.96718,-0.13574,0.02317,169.43,-214.49,123.81
2021-04-05T12:08:42.188,0.96992,-0.11674,0.02393,171.93,-215.37,123.80
2021-04-05T12:08:42.250,0.97202,-0.12772,0.02307,171.10,-214.48,124.72
2021-04-05T12:08:42.313,0.96801,-0.12176,0.02201,171.94,-211.83,123.83
2021-04-05T12:08:42.375,0.95227,-0.12587,0.01907,169.43,-215.38,122.89
2021-04-05T12:08:42.438,0.97408,-0.13472,0.02118,167.76,-214.51,121.98
2021-04-05T12:08:42.500,0.97293,-0.11977,0.01802,171.11,-210.06,123.85
2021-04-05T12:08:42.563,0.97784,-0.11772,0.02097,168.60,-212.74,121.09
2021-04-05T12:08:42.625,0.97788,-0.12170,0.02301,169.43,-216.23,126.54
2021-04-05T12:08:42.688,0.97590,-0.12073,0.02101,166.93,-216.28,121.05
2021-04-05T12:08:42.750,0.97496,-0.12475,0.01907,167.76,-215.38,122.89
2021-04-05T12:08:42.813,0.96788,-0.10978,0.02087,171.10,-213.62,121.99
