ISO 8601 Time,Roll (degrees),Pitch (degrees),Yaw (degrees)
2021-04-05T12:08:29.000,78.67,-84.52,54.20
2021-04-05T12:08:29.063,82.17,-80.33,48.00
2021-04-05T12:08:29.125,79.59,-83.46,52.23
2021-04-05T12:08:29.188,78.96,-83.79,53.15
2021-04-05T12:08:29.250,80.24,-83.03,51.06
2021-04-05T12:08:29.313,80.69,-82.41,50.27
2021-04-05T12:08:29.375,80.69,-82.42,51.31
2021-04-05T12:08:29.438,80.33,-82.35,51.35
2021-04-05T12:08:29.500,79.66,-82.49,52.06
2021-04-05T12:08:29.563,80.74,-82.71,51.38
2021-04-05T12:08:29.625,79.30,-82.73,52.54
2021-04-05T12:08:29.688,80.37,-82.62,51.26
2021-04-05T12:08:29.750,80.82,-82.61,51.57
2021-04-05T12:08:29.813,80.29,-82.69,51.23
2021-04-05T12:08:29.875,80.58,-82.83,51.47
2021-04-05T12:08:29.938,80.12,-82.78,51.37
2021-04-05T12:08:30.000,80.01,-82.60,51.76
2021-04-05T12:08:30.063,79.50,-84.69,53.09
2021-04-05T12:08:30.125,80.98,-82.16,50.67
2021-04-05T12:08:30.188,78.62,-84.81,55.10
2021-04-05T12:08:30.250,78.96,-85.21,54.26
2021-04-05T12:08:30.313,80.29,-82.69,52.14
2021-04-05T12:08:30.375,80.32,-83.01,51.72
2021-04-05T12:08:30.438,79.49,-83.21,52.85
2021-04-05T12:08:30.500,81.19,-82.70,50.46
2021-04-05T12:08:30.563,80.32,-83.01,51.05
2021-04-05T12:08:30.625,79.49,-82.92,52.59
2021-04-05T12:08:30.688,79.68,-83.08,52.63
2021-04-05T12:08:30.750,79.93,-82.62,51.07
2021-04-05T12:08:30.813,80.71,-83.06,50.54
2021-04-05T12:08:30.875,80.58,-82.82,50.23
2021-04-05T12:08:30.938,80.12,-82.78,51.08
2021-04-05T12:08:31.000,80.41,-82.92,51.02
2021-04-05T12:08:31.063,80.36,-83.30,52.03
2021-04-05T12:08:31.125,81.19,-82.73,51.22
2021-04-05T12:08:31.188,80.41,-82.95,51.38
2021-04-05T12:08:31.250,80.29,-82.69,51.48
2021-04-05T12:08:31.313,81.10,-83.11,51.01
2021-04-05T12:08:31.375,79.49,-83.22,52.25
2021-04-05T12:08:31.438,79.68,-83.11,51.66
2021-04-05T12:08:31.500,80.41,-83.59,51.80
2021-04-05T12:08:31.563,86.60,-81.25,44.86
2021-04-05T12:08:31.625,80.77,-83.36,51.16
2021-04-05T12:08:31.688,81.96,-82.08,49.02
