ISO 8601 Time,Ax (g),Ay (g),Az (g),Mx (mG),My (mG),Mz (mG)
2021-04-09T08:31:03.000,-0.9619,0.2346,-0.0061,23.45,25.68,14.48
2021-04-09T08:31:03.062,-0.9635,0.2327,-0.0051,23.45,25.68,14.48
2021-04-09T08:31:03.125,-0.9626,0.2351,-0.0045,23.45,25.68,14.48
2021-04-09T08:31:03.187,-0.9646,0.2356,-0.0054,23.45,25.68,14.48
2021-04-09T08:31:03.250,-0.9646,0.2356,-0.0054,23.45,25.68,14.48
2021-04-09T08:31:03.312,-0.9638,0.2356,-0.0048,23.45,25.68,14.48
2021-04-09T08:31:03.375,-0.9614,0.2370,-0.0064,23.45,25.68,14.48
2021-04-09T08:31:03.437,-0.9651,0.2290,-0.0018,23.45,25.68,14.48
2021-04-09T08:31:03.500,-0.9605,0.2367,-0.0062,23.45,25.68,14.48
2021-04-09T08:31:03.562,-0.9647,0.2337,-0.0051,23.45,25.68,14.48
2021-04-09T08:31:03.625,-0.9616,0.2343,-0.0070,23.45,25.68,14.48
2021-04-09T08:31:03.687,-0.9629,0.2378,-0.0029,23.45,25.68,14.48
2021-04-09T08:31:03.750,-0.9623,0.2324,-0.0064,23.45,25.68,14.48
2021-04-09T08:31:03.812,-0.9616,0.2349,-0.0024,23.45,25.68,14.48
2021-04-09T08:31:03.875,-0.9619,0.2351,-0.0059,23.45,25.68,14.48
2021-04-09T08:31:03.937,-0.9627,0.2298,-0.0026,23.45,25.68,14.48
2021-04-09T08:31:04.000,-0.9627,0.2377,-0.0051,23.45,25.68,14.48
2021-04-09T08:31:04.062,-0.9627,0.2311,-0.0045,23.45,25.68,14.48
2021-04-09T08:31:04.125,-0.9758,0.1811,0.0027,23.45,25.68,14.48
2021-04-09T08:31:04.187,-0.9332,0.3703,-0.0303,23.45,25.68,14.48
2021-04-09T08:31:04.250,-0.9592,0.2608,-0.0080,23.45,25.68,14.48
2021-04-09T08:31:04.312,-0.9560,0.2424,-0.0073,23.45,25.68,14.48
2021-04-09T08:31:04.375,-0.9635,0.2327,-0.0026,23.45,25.68,14.48
2021-04-09T08:31:04.437,-0.9641,0.2362,0.0014,23.45,25.68,14.48
2021-04-09T08:31:04.500,-0.9640,0.2482,-0.0195,23.45,25.68,14.48
2021-04-09T08:31:04.562,-0.9642,0.2242,-0.0036,23.45,25.68,14.48
2021-04-09T08:31:04.625,-0.9597,0.2540,0.0004,23.45,25.68,14.48
2021-04-09T08:31:04.687,-0.9603,0.2392,0.0014,23.45,25.68,14.48
2021-04-09T08:31:04.750,-0.8914,0.3833,0.0115,23.45,25.68,14.48
2021-04-09T08:31:04.812,-0.9643,0.2509,-0.0074,23.45,25.68,14.48
2021-04-09T08:31:04.875,-0.9625,0.2393,-0.0062,23.45,25.68,14.48
2021-04-09T08:31:04.937,-0.9701,0.1817,0.0011,23.45,25.68,14.48
2021-04-09T08:31:05.000,-0.9526,0.2329,-0.0085,23.45,25.68,14.48
2021-04-09T08:31:05.062,-0.9673,0.2210,-0.0006,23.45,25.68,14.48
2021-04-09T08:31:05.125,-0.9640,0.2442,0.0045,23.45,25.68,14.48
2021-04-09T08:31:05.187,-1.0279,0.1325,0.2813,23.45,25.68,14.48
2021-04-09T08:31:05.250,-1.0859,0.2350,0.2374,23.45,25.68,14.48
2021-04-09T08:31:05.312,-1.1628,-0.0281,0.4154,23.45,25.68,14.48
2021-04-09T08:31:05.375,-0.9390,-0.1027,0.2540,23.45,25.68,14.48
2021-04-09T08:31:05.437,-1.0296,-0.1304,0.2250,23.45,25.68,14.48
2021-04-09T08:31:05.500,-0.7778,-0.0220,-0.0599,23.45,25.68,14.48
2021-04-09T08:31:05.562,-0.6640,-0.1829,-0.2070,23.45,25.68,14.48
2021-04-09T08:31:05.625,-0.8113,0.0737,-0.3063,23.45,25.68,14.48
2021-04-09T08:31:05.687,-0.9220,0.0943,-0.2972,23.45,25.68,14.48
2021-04-09T08:31:05.750,-1.1730,0.1346,-0.3379,23.45,25.68,14.48
2021-04-09T08:31:05.812,-0.9493,0.0122,-0.2905,23.45,25.68,14.48
2021-04-09T08:31:05.875,-0.9961,0.2316,-0.1507,23.45,25.68,14.48
2021-04-09T08:31:05.937,-1.0357,0.2430,-0.1220,23.45,25.69,14.48
2021-04-09T08:31:06.000,-1.0047,0.2082,0.0385,23.45,25.69,14.48
2021-04-09T08:31:06.062,-0.7937,0.0901,-0.0338,23.45,25.69,14.48
2021-04-09T08:31:06.125,-0.6571,0.2700,-0.2335,23.45,25.69,14.48
2021-04-09T08:31:06.187,-0.8891,0.1219,0.0039,23.45,25.69,14.48
2021-04-09T08:31:06.250,-0.9590,0.1982,-0.0177,23.45,25.69,14.48
2021-04-09T08:31:06.312,-0.9749,0.2137,-0.0230,23.45,25.69,14.48
2021-04-09T08:31:06.375,-0.9623,0.2823,0.2879,23.45,25.69,14.48
2021-04-09T08:31:06.437,-0.9648,0.2777,0.0455,23.45,25.69,14.48
2021-04-09T08:31:06.500,-0.9047,0.1989,-0.0299,23.45,25.69,14.48
2021-04-09T08:31:06.562,-1.0079,0.1734,-0.2235,23.45,25.69,14.48
2021-04-09T08:31:06.625,-0.9384,0.2552,-0.1118,23.45,25.69,14.48
2021-04-09T08:31:06.687,-0.9489,0.2374,-0.0172,23.45,25.69,14.48
2021-04-09T08:31:06.750,-0.9517,0.2424,-0.0143,23.45,25.69,14.48
2021-04-09T08:31:06.812,-0.9664,0.2484,-0.0211,23.45,25.69,14.48
2021-04-09T08:31:06.875,-0.9703,0.2388,-0.0197,23.45,25.69,14.48
2021-04-09T08:31:06.937,-0.9552,0.2388,-0.0167,23.45,25.69,14.48
2021-04-09T08:31:07.000,-0.9568,0.2343,-0.0180,23.45,25.69,14.48
2021-04-09T08:31:07.062,-0.9615,0.2442,-0.0192,23.45,25.69,14.48
2021-04-09T08:31:07.125,-0.9669,0.2380,-0.0202,23.45,25.69,14.48
2021-04-09T08:31:07.187,-0.9639,0.2445,-0.0203,23.45,25.69,14.48
2021-04-09T08:31:07.250,-0.9626,0.2432,-0.0197,23.45,25.69,14.48
2021-04-09T08:31:07.312,-0.9610,0.2440,-0.0189,23.45,25.69,14.48
2021-04-09T08:31:07.375,-0.9654,0.2362,-0.0205,23.45,25.69,14.48
2021-04-09T08:31:07.437,-0.9617,0.2358,-0.0172,23.45,25.69,14.48
2021-04-09T08:31:07.500,-0.9612,0.2358,-0.0183,23.45,25.69,14.48
2021-04-09T08:31:07.562,-0.9620,0.2379,-0.0189,23.45,25.69,14.48
2021-04-09T08:31:07.625,-0.9596,0.2374,-0.0178,23.45,25.69,14.48
2021-04-09T08:31:07.687,-0.9606,0.2406,-0.0181,23.45,25.69,14.48
2021-04-09T08:31:07.750,-0.9625,0.2381,-0.0200,23.45,25.69,14.48
2021-04-09T08:31:07.812,-0.9599,0.2385,-0.0191,23.45,25.69,14.48
2021-04-09T08:31:07.875,-0.9625,0.2389,-0.0197,23.45,25.69,14.48
2021-04-09T08:31:07.937,-0.9628,0.2410,-0.0186,23.45,25.69,14.48
2021-04-09T08:31:08.000,-0.9629,0.2447,-0.0195,23.45,25.69,14.48
2021-04-09T08:31:08.062,-0.9635,0.2386,-0.0200,23.45,25.69,14.48
2021-04-09T08:31:08.125,-0.9597,0.2411,-0.0181,23.45,25.69,14.48
2021-04-09T08:31:08.187,-0.9599,0.2390,-0.0189,23.45,25.69,14.48
2021-04-09T08:31:08.250,-0.9533,0.2399,-0.0164,23.45,25.69,14.48
2021-04-09T08:31:08.312,-0.9594,0.2379,-0.0191,23.45,25.69,14.48
2021-04-09T08:31:08.375,-0.9591,0.2395,-0.0170,23.45,25.69,14.48
