ISO 8601 Time,Yaw (degrees),Pitch (degrees),Roll (degrees)
2021-04-09T08:31:03.000,26.70,76.29,91.50
2021-04-09T08:31:03.062,26.50,76.42,91.24
2021-04-09T08:31:03.125,26.35,76.27,91.11
2021-04-09T08:31:03.187,26.52,76.27,91.30
2021-04-09T08:31:03.250,26.52,76.27,91.30
2021-04-09T08:31:03.312,26.40,76.26,91.17
2021-04-09T08:31:03.375,26.71,76.15,91.56
2021-04-09T08:31:03.437,25.86,76.65,90.45
2021-04-09T08:31:03.500,26.66,76.15,91.49
2021-04-09T08:31:03.562,26.49,76.38,91.24
2021-04-09T08:31:03.625,26.87,76.30,91.70
2021-04-09T08:31:03.687,25.97,76.13,90.71
2021-04-09T08:31:03.750,26.79,76.42,91.58
2021-04-09T08:31:03.812,25.89,76.27,90.58
2021-04-09T08:31:03.875,26.63,76.26,91.43
2021-04-09T08:31:03.937,26.02,76.57,90.65
2021-04-09T08:31:04.000,26.42,76.12,91.23
2021-04-09T08:31:04.062,26.41,76.50,91.12
2021-04-09T08:31:04.125,25.36,79.49,89.15
2021-04-09T08:31:04.187,27.80,68.29,94.68
2021-04-09T08:31:04.250,26.59,74.78,91.76
2021-04-09T08:31:04.312,26.77,75.77,91.72
2021-04-09T08:31:04.375,25.98,76.42,90.65
2021-04-09T08:31:04.437,25.09,76.23,89.66
2021-04-09T08:31:04.500,29.10,75.52,94.50
2021-04-09T08:31:04.562,26.33,76.91,90.93
2021-04-09T08:31:04.625,25.08,75.17,89.91
2021-04-09T08:31:04.687,25.05,76.01,89.67
2021-04-09T08:31:04.750,22.40,66.72,88.28
2021-04-09T08:31:04.812,26.66,75.41,91.69
2021-04-09T08:31:04.875,26.62,76.03,91.48
2021-04-09T08:31:04.937,25.79,79.39,89.66
2021-04-09T08:31:05.000,27.20,76.25,92.10
2021-04-09T08:31:05.062,25.72,77.13,90.16
2021-04-09T08:31:05.125,24.37,75.78,88.93
2021-04-09T08:31:05.187,-29.80,73.17,25.22
2021-04-09T08:31:05.250,-13.34,72.90,44.70
2021-04-09T08:31:05.312,-53.23,70.30,-3.86
2021-04-09T08:31:05.375,-70.75,73.73,-22.03
2021-04-09T08:31:05.437,-79.60,75.82,-30.08
2021-04-09T08:31:05.500,136.95,85.31,-159.83
2021-04-09T08:31:05.562,150.00,67.42,-138.53
2021-04-09T08:31:05.625,88.06,68.78,166.47
2021-04-09T08:31:05.687,86.44,71.32,162.39
2021-04-09T08:31:05.750,83.81,72.77,158.28
2021-04-09T08:31:05.812,102.74,72.97,177.60
2021-04-09T08:31:05.875,53.42,74.50,123.04
2021-04-09T08:31:05.937,48.21,75.29,116.66
2021-04-09T08:31:06.000,16.59,78.10,79.52
2021-04-09T08:31:06.062,46.24,83.09,110.59
2021-04-09T08:31:06.125,54.30,61.48,130.85
2021-04-09T08:31:06.187,25.17,82.19,88.19
2021-04-09T08:31:06.250,30.33,78.28,95.09
2021-04-09T08:31:06.312,31.06,77.57,96.14
2021-04-09T08:31:06.375,-13.11,67.27,44.44
2021-04-09T08:31:06.437,17.01,73.74,80.69
2021-04-09T08:31:06.500,33.14,77.47,98.55
2021-04-09T08:31:06.562,70.25,74.32,142.20
2021-04-09T08:31:06.625,44.90,73.46,113.66
2021-04-09T08:31:06.687,28.89,75.92,94.14
2021-04-09T08:31:06.750,28.17,75.69,93.37
2021-04-09T08:31:06.812,29.43,75.54,94.87
2021-04-09T08:31:06.875,29.44,76.13,94.72
2021-04-09T08:31:06.937,28.77,75.93,94.00
2021-04-09T08:31:07.000,29.18,76.20,94.40
2021-04-09T08:31:07.062,29.15,75.70,94.49
2021-04-09T08:31:07.125,29.56,76.12,94.86
2021-04-09T08:31:07.187,29.37,75.72,94.75
2021-04-09T08:31:07.250,29.29,75.78,94.64
2021-04-09T08:31:07.312,29.10,75.71,94.44
2021-04-09T08:31:07.375,29.67,76.20,94.96
2021-04-09T08:31:07.437,28.99,76.19,94.18
2021-04-09T08:31:07.500,29.21,76.18,94.44
2021-04-09T08:31:07.562,29.27,76.07,94.54
2021-04-09T08:31:07.625,29.05,76.07,94.28
2021-04-09T08:31:07.687,29.02,75.90,94.30
2021-04-09T08:31:07.750,29.49,76.06,94.79
2021-04-09T08:31:07.812,29.30,76.01,94.59
2021-04-09T08:31:07.875,29.41,76.01,94.71
2021-04-09T08:31:07.937,29.13,75.90,94.42
2021-04-09T08:31:08.000,29.19,75.70,94.55
2021-04-09T08:31:08.062,29.48,76.04,94.78
2021-04-09T08:31:08.125,29.00,75.86,94.29
2021-04-09T08:31:08.187,29.23,75.98,94.52
2021-04-09T08:31:08.250,28.68,75.84,93.92
2021-04-09T08:31:08.312,29.31,76.03,94.60
2021-04-09T08:31:08.375,28.82,75.94,94.06
2021-04-09T08:31:08.437,29.62,75.71,95.04
2021-04-09T08:31:08.500,28.78,76.24,93.93
2021-04-09T08:31:08.562,27.96,79.09,92.18
2021-04-09T08:31:08.625,26.52,74.90,91.66
2021-04-09T08:31:08.687,26.40,67.53,93.10
2021-04-09T08:31:08.750,28.70,78.72,93.12
2021-04-09T08:31:08.812,31.55,80.98,95.56
2021-04-09T08:31:08.875,28.99,77.32,93.86
2021-04-09T08:31:08.937,27.97,72.83,93.87
2021-04-09T08:31:09.000,28.46,75.11,93.86
2021-04-09T08:31:09.062,29.74,76.48,94.96
2021-04-09T08:31:09.125,28.96,75.56,94.32
2021-04-09T08:31:09.187,28.61,75.34,93.98
2021-04-09T08:31:09.250,28.48,76.16,93.60
2021-04-09T08:31:09.312,28.88,75.72,94.18
2021-04-09T08:31:09.375,28.83,75.74,94.12
2021-04-09T08:31:09.437,28.74,75.64,94.04
2021-04-09T08:31:09.500,28.54,76.05,93.70
2021-04-09T08:31:09.562,28.57,75.96,93.76
2021-04-09T08:31:09.625,28.32,75.61,93.56
2021-04-09T08:31:09.687,28.41,74.67,93.92
2021-04-09T08:31:09.750,29.32,76.81,94.39
2021-04-09T08:31:09.812,30.98,76.89,96.27
2021-04-09T08:31:09.875,29.47,72.72,95.68
2021-04-09T08:31:09.937,21.61,78.91,85.07
2021-04-09T08:31:10.000,14.81,78.30,77.46
2021-04-09T08:31:10.062,5.00,81.32,66.13
2021-04-09T08:31:10.125,6.27,77.95,67.75
2021-04-09T08:31:10.187,0.35,76.65,60.99
2021-04-09T08:31:10.250,2.04,75.36,62.96
2021-04-09T08:31:10.312,-0.01,73.35,60.57
2021-04-09T08:31:10.375,1.17,71.61,61.99
2021-04-09T08:31:10.437,-8.94,74.61,50.08
2021-04-09T08:31:10.500,-3.80,70.86,56.00
2021-04-09T08:31:10.562,-8.25,69.87,50.58
2021-04-09T08:31:10.625,-14.76,73.00,43.04
2021-04-09T08:31:10.687,-16.74,71.89,40.53
2021-04-09T08:31:10.750,-19.91,72.19,36.78
2021-04-09T08:31:10.812,-24.59,71.95,31.14
2021-04-09T08:31:10.875,-25.18,71.26,30.28
2021-04-09T08:31:10.937,-25.77,70.08,29.33
2021-04-09T08:31:11.000,-26.48,70.04,28.46
2021-04-09T08:31:11.062,-32.08,69.57,21.53
2021-04-09T08:31:11.125,-26.11,70.55,29.02
2021-04-09T08:31:11.187,-29.71,69.69,24.45
2021-04-09T08:31:11.250,-30.09,69.21,23.87
2021-04-09T08:31:11.312,-27.43,67.34,26.75
2021-04-09T08:31:11.375,-29.41,69.36,24.74
2021-04-09T08:31:11.437,-25.94,68.34,28.78
2021-04-09T08:31:11.500,-27.24,68.54,27.22
2021-04-09T08:31:11.562,-27.80,67.19,26.25
2021-04-09T08:31:11.625,-30.71,66.45,22.47
2021-04-09T08:31:11.687,-29.90,65.72,23.34
2021-04-09T08:31:11.750,-30.50,65.93,22.62
2021-04-09T08:31:11.812,-30.21,66.30,23.07
2021-04-09T08:31:11.875,-26.76,66.22,27.37
2021-04-09T08:31:11.937,-30.87,66.52,22.29
2021-04-09T08:31:12.000,-28.33,66.55,25.47
2021-04-09T08:31:12.062,-32.16,67.43,20.89
2021-04-09T08:31:12.125,-27.33,67.34,26.87
2021-04-09T08:31:12.187,-31.57,68.13,21.80
2021-04-09T08:31:12.250,-29.28,67.95,24.58
2021-04-09T08:31:12.312,-31.00,67.81,22.42
2021-04-09T08:31:12.375,-31.03,67.17,22.24
2021-04-09T08:31:12.437,-32.11,67.59,20.99
2021-04-09T08:31:12.500,-31.22,67.48,22.08
2021-04-09T08:31:12.562,-31.45,67.28,21.74
2021-04-09T08:31:12.625,-30.58,66.77,22.71
2021-04-09T08:31:12.687,-29.61,65.82,23.72
2021-04-09T08:31:12.750,-30.00,66.30,23.33
2021-04-09T08:31:12.812,-30.14,66.03,23.10
2021-04-09T08:31:12.875,-30.70,65.05,22.18
