ISO 8601 Time,Ax (g),Ay (g),Az (g),Mx (mG),My (mG),Mz (mG)
2021-04-09T08:36:41.000,-0.9652,0.2139,-0.0024,23.27,25.41,14.47
2021-04-09T08:36:41.062,-0.9613,0.2481,-0.0084,23.27,25.41,14.47
2021-04-09T08:36:41.125,-0.9500,0.2793,-0.0060,23.27,25.41,14.47
2021-04-09T08:36:41.187,-0.9549,0.2629,-0.0010,23.27,25.41,14.47
2021-04-09T08:36:41.250,-0.9566,0.1346,0.0602,23.27,25.41,14.47
2021-04-09T08:36:41.312,-0.9636,0.2407,-0.0246,23.27,25.41,14.47
2021-04-09T08:36:41.375,-0.9657,0.2082,-0.0059,23.27,25.41,14.47
2021-04-09T08:36:41.437,-0.9673,0.2141,-0.0019,23.27,25.41,14.47
2021-04-09T08:36:41.500,-0.9594,0.2505,-0.0098,23.27,25.41,14.47
2021-04-09T08:36:41.562,-0.9662,0.2160,-0.0009,23.27,25.41,14.47
2021-04-09T08:36:41.625,-0.9598,0.2311,-0.0099,23.27,25.41,14.47
2021-04-09T08:36:41.687,-0.9510,0.2605,-0.0091,23.27,25.41,14.47
2021-04-09T08:36:41.750,-0.9679,0.2328,-0.0067,23.27,25.41,14.47
2021-04-09T08:36:41.812,-0.9804,0.1133,0.1221,23.27,25.41,14.47
2021-04-09T08:36:41.875,-0.9548,0.2895,0.0111,23.27,25.41,14.47
2021-04-09T08:36:41.937,-1.0447,-0.1399,0.2313,23.27,25.41,14.47
2021-04-09T08:36:42.000,-1.0570,0.0163,0.0219,23.27,25.41,14.47
2021-04-09T08:36:42.062,-0.9903,0.1048,-0.0627,23.27,25.41,14.47
2021-04-09T08:36:42.125,-0.9621,0.1228,0.0031,23.27,25.41,14.47
2021-04-09T08:36:42.187,-0.9227,0.0973,0.0493,23.27,25.41,14.47
2021-04-09T08:36:42.250,-0.7426,0.2216,-0.0795,23.27,25.41,14.47
2021-04-09T08:36:42.312,-0.8192,0.2290,-0.1883,23.27,25.41,14.47
2021-04-09T08:36:42.375,-0.9342,0.2377,-0.1956,23.27,25.41,14.47
2021-04-09T08:36:42.437,-1.0599,0.1791,-0.3109,23.27,25.41,14.47
2021-04-09T08:36:42.500,-0.7937,0.1963,-0.2017,23.27,25.41,14.47
2021-04-09T08:36:42.562,-0.4061,0.3166,-0.1481,23.27,25.41,14.47
2021-04-09T08:36:42.625,-0.9114,0.3600,-0.0485,23.27,25.41,14.47
2021-04-09T08:36:42.687,-0.9616,0.2745,-0.0190,23.27,25.41,14.47
2021-04-09T08:36:42.750,-0.9770,0.2270,-0.0194,23.27,25.41,14.47
2021-04-09T08:36:42.812,-0.9638,0.2268,-0.0096,23.27,25.41,14.47
2021-04-09T08:36:42.875,-0.9840,0.1396,-0.0212,23.27,25.41,14.47
2021-04-09T08:36:42.937,-0.9121,0.4072,-0.0193,23.27,25.41,14.47
2021-04-09T08:36:43.000,-0.9683,0.3395,-0.0474,23.27,25.41,14.47
2021-04-09T08:36:43.062,-0.9859,0.0658,-0.0227,23.27,25.41,14.47
2021-04-09T08:36:43.125,-1.0398,0.1471,0.0222,23.27,25.41,14.47
2021-04-09T08:36:43.187,-0.9150,0.4053,-0.0206,23.27,25.41,14.47
2021-04-09T08:36:43.250,-1.0587,0.1019,-0.0060,23.27,25.41,14.47
2021-04-09T08:36:43.312,-0.9656,0.0703,-0.0167,23.27,25.41,14.47
2021-04-09T08:36:43.375,-0.9046,0.3804,-0.0144,23.27,25.41,14.47
2021-04-09T08:36:43.437,-1.0143,0.2674,-0.0075,23.27,25.41,14.47
2021-04-09T08:36:43.500,-0.9788,0.0631,-0.0215,23.27,25.41,14.47
2021-04-09T08:36:43.562,-0.9084,0.3787,-0.0185,23.27,25.41,14.47
2021-04-09T08:36:43.625,-0.9648,0.0559,-0.0228,23.27,25.41,14.47
2021-04-09T08:36:43.687,-0.9291,0.3958,-0.0411,23.27,25.41,14.47
2021-04-09T08:36:43.750,-0.9673,0.0527,-0.0171,23.27,25.41,14.47
2021-04-09T08:36:43.812,-0.9540,0.2462,-0.0211,23.27,25.41,14.47
2021-04-09T08:36:43.875,-0.9502,0.3107,-0.0249,23.27,25.41,14.47
2021-04-09T08:36:43.937,-0.9641,0.2334,-0.0161,23.27,25.41,14.47
2021-04-09T08:36:44.000,-0.9649,0.2013,-0.0158,23.27,25.41,14.47
2021-04-09T08:36:44.062,-0.9912,0.0925,0.0281,23.27,25.41,14.47
2021-04-09T08:36:44.125,-0.9273,0.3996,-0.0854,23.27,25.41,14.47
2021-04-09T08:36:44.187,-0.9545,0.2826,0.1394,23.27,25.41,14.47
2021-04-09T08:36:44.250,-0.9446,0.2982,0.0103,23.27,25.41,14.47
2021-04-09T08:36:44.312,-0.9334,0.3069,-0.1236,23.27,25.41,14.47
2021-04-09T08:36:44.375,-0.9523,0.2322,-0.1581,23.27,25.41,14.47
2021-04-09T08:36:44.437,-1.0285,0.3320,-0.0351,23.27,25.41,14.47
2021-04-09T08:36:44.500,-0.8301,0.6509,0.0291,23.27,25.41,14.47
2021-04-09T08:36:44.562,-0.8945,0.3368,0.0052,23.27,25.41,14.47
2021-04-09T08:36:44.625,-1.0247,0.1943,0.0243,23.27,25.41,14.47
2021-04-09T08:36:44.687,-1.0079,-0.0947,-0.0905,23.27,25.41,14.47
2021-04-09T08:36:44.750,-0.9736,0.1152,-0.0188,23.27,25.41,14.47
2021-04-09T08:36:44.812,-0.9086,0.4723,-0.0350,23.27,25.41,14.47
2021-04-09T08:36:44.875,-1.0201,0.1436,-0.0203,23.27,25.41,14.47
2021-04-09T08:36:44.937,-1.0035,0.2072,-0.0047,23.27,25.41,14.47
2021-04-09T08:36:45.000,-0.9844,0.1706,-0.0177,23.27,25.41,14.47
2021-04-09T08:36:45.062,-0.9534,0.2399,-0.0218,23.27,25.41,14.47
2021-04-09T08:36:45.125,-0.9629,0.2169,-0.0181,23.27,25.41,14.47
2021-04-09T08:36:45.187,-0.9629,0.2442,-0.0208,23.27,25.41,14.47
2021-04-09T08:36:45.250,-0.9657,0.2404,-0.0251,23.27,25.41,14.47
2021-04-09T08:36:45.312,-0.9592,0.2252,-0.0163,23.27,25.41,14.47
2021-04-09T08:36:45.375,-0.9489,0.2448,-0.0189,23.27,25.41,14.47
2021-04-09T08:36:45.437,-0.9698,0.2316,-0.0199,23.27,25.41,14.47
2021-04-09T08:36:45.500,-0.9724,0.2273,-0.0223,23.27,25.41,14.47
2021-04-09T08:36:45.562,-0.9512,0.2513,-0.0211,23.27,25.41,14.47
2021-04-09T08:36:45.625,-0.9606,0.2225,-0.0198,23.27,25.41,14.47
2021-04-09T08:36:45.687,-0.9641,0.2444,-0.0216,23.27,25.41,14.47
