ISO 8601 Time,Yaw (degrees),Pitch (degrees),Roll (degrees)
2021-04-09T08:36:41.000,26.44,77.51,90.66
2021-04-09T08:36:41.062,27.11,75.52,91.95
2021-04-09T08:36:41.125,26.11,73.61,91.23
2021-04-09T08:36:41.187,25.44,74.61,90.22
2021-04-09T08:36:41.250,5.02,81.24,65.91
2021-04-09T08:36:41.312,30.55,75.90,95.83
2021-04-09T08:36:41.375,27.37,77.83,91.62
2021-04-09T08:36:41.437,26.32,77.52,90.51
2021-04-09T08:36:41.500,27.33,75.36,92.24
2021-04-09T08:36:41.562,26.04,77.40,90.23
2021-04-09T08:36:41.625,27.76,76.45,92.45
2021-04-09T08:36:41.687,26.97,74.67,91.99
2021-04-09T08:36:41.750,27.07,76.47,91.65
2021-04-09T08:36:41.812,-15.64,80.36,42.84
2021-04-09T08:36:41.875,23.11,73.12,87.79
2021-04-09T08:36:41.937,-80.13,75.49,-31.16
2021-04-09T08:36:42.000,-23.20,88.52,36.69
2021-04-09T08:36:42.062,56.10,82.97,120.90
2021-04-09T08:36:42.125,25.89,82.73,88.58
2021-04-09T08:36:42.187,2.55,83.26,63.11
2021-04-09T08:36:42.250,41.41,72.41,109.73
2021-04-09T08:36:42.312,57.01,70.10,129.43
2021-04-09T08:36:42.375,57.82,71.76,129.44
2021-04-09T08:36:42.437,75.43,71.30,150.06
2021-04-09T08:36:42.500,62.54,70.48,135.78
2021-04-09T08:36:42.562,40.48,49.28,115.08
2021-04-09T08:36:42.625,30.41,68.27,97.67
2021-04-09T08:36:42.687,28.50,74.03,93.95
2021-04-09T08:36:42.750,29.97,76.88,94.87
2021-04-09T08:36:42.812,27.80,76.75,92.42
2021-04-09T08:36:42.875,34.86,81.84,98.64
2021-04-09T08:36:42.937,26.04,65.92,92.71
2021-04-09T08:36:43.000,31.08,70.51,97.95
2021-04-09T08:36:43.062,46.39,85.96,108.99
2021-04-09T08:36:43.125,19.12,81.86,81.40
2021-04-09T08:36:43.187,26.22,66.08,92.91
2021-04-09T08:36:43.250,30.89,84.49,93.36
2021-04-09T08:36:43.312,40.87,85.72,103.36
2021-04-09T08:36:43.375,25.78,67.18,92.17
2021-04-09T08:36:43.437,26.75,75.23,91.60
2021-04-09T08:36:43.500,46.33,86.11,108.84
2021-04-09T08:36:43.562,26.31,67.35,92.79
2021-04-09T08:36:43.625,49.68,86.42,112.14
2021-04-09T08:36:43.687,28.75,66.82,95.93
2021-04-09T08:36:43.750,45.76,86.72,107.93
2021-04-09T08:36:43.812,29.64,75.48,94.89
2021-04-09T08:36:43.875,28.57,71.84,94.59
2021-04-09T08:36:43.937,29.04,76.36,93.95
2021-04-09T08:36:44.000,29.98,78.18,94.49
2021-04-09T08:36:44.062,11.91,84.43,73.11
2021-04-09T08:36:44.125,33.54,66.22,102.06
2021-04-09T08:36:44.187,2.83,71.73,63.74
2021-04-09T08:36:44.250,23.20,72.47,88.02
2021-04-09T08:36:44.312,42.64,70.48,111.95
2021-04-09T08:36:44.375,54.23,73.57,124.25
2021-04-09T08:36:44.437,29.82,72.02,96.04
2021-04-09T08:36:44.500,20.92,51.87,87.44
2021-04-09T08:36:44.562,23.62,69.37,89.11
2021-04-09T08:36:44.625,19.94,79.18,82.88
2021-04-09T08:36:44.687,164.21,82.60,-133.72
2021-04-09T08:36:44.750,35.92,83.17,99.26
2021-04-09T08:36:44.812,26.81,62.47,94.24
2021-04-09T08:36:44.875,34.34,81.91,98.05
2021-04-09T08:36:44.937,27.20,78.33,91.29
2021-04-09T08:36:45.000,31.83,80.11,95.94
2021-04-09T08:36:45.062,29.98,75.82,95.20
2021-04-09T08:36:45.125,29.99,77.26,94.78
2021-04-09T08:36:45.187,29.68,75.72,94.87
2021-04-09T08:36:45.250,30.68,75.95,95.96
2021-04-09T08:36:45.312,29.30,76.75,94.14
2021-04-09T08:36:45.375,29.23,75.49,94.41
2021-04-09T08:36:45.437,29.91,76.52,94.91
2021-04-09T08:36:45.500,30.58,76.78,95.61
2021-04-09T08:36:45.562,29.48,75.15,94.80
