ISO 8601 Time,Ax (g),Ay (g),Az (g),Mx (mG),My (mG),Mz (mG)
2021-04-09T08:25:33.000,-0.9623,0.2345,-0.0067,23.57,25.87,14.49
2021-04-09T08:25:33.062,-0.9641,0.2364,-0.0081,23.57,25.87,14.49
2021-04-09T08:25:33.125,-0.9621,0.2356,-0.0078,23.57,25.87,14.49
2021-04-09T08:25:33.187,-0.9624,0.2348,-0.0067,23.57,25.87,14.49
2021-04-09T08:25:33.250,-0.9648,0.2345,-0.0070,23.57,25.87,14.49
2021-04-09T08:25:33.312,-0.9629,0.2356,-0.0064,23.57,25.87,14.49
2021-04-09T08:25:33.375,-0.9633,0.2345,-0.0059,23.57,25.87,14.49
2021-04-09T08:25:33.437,-0.9643,0.2332,-0.0070,23.57,25.87,14.49
2021-04-09T08:25:33.500,-0.9638,0.2340,-0.0075,23.57,25.87,14.49
2021-04-09T08:25:33.562,-0.9614,0.2372,-0.0037,23.57,25.87,14.49
2021-04-09T08:25:33.625,-0.9640,0.2340,-0.0099,23.57,25.87,14.49
2021-04-09T08:25:33.687,-0.9626,0.2367,-0.0054,23.57,25.87,14.49
2021-04-09T08:25:33.750,-0.9624,0.2364,-0.0083,23.57,25.87,14.49
2021-04-09T08:25:33.812,-0.9655,0.2345,-0.0048,23.57,25.87,14.49
2021-04-09T08:25:33.875,-0.9612,0.2372,-0.0064,23.57,25.87,14.49
2021-04-09T08:25:33.937,-0.9645,0.2316,-0.0075,23.57,25.87,14.49
2021-04-09T08:25:34.000,-0.9610,0.2391,-0.0059,23.57,25.87,14.49
2021-04-09T08:25:34.062,-0.9635,0.2329,-0.0080,23.57,25.87,14.49
2021-04-09T08:25:34.125,-0.9625,0.2324,-0.0051,23.57,25.87,14.49
2021-04-09T08:25:34.187,-0.9627,0.2377,-0.0070,23.57,25.87,14.49
2021-04-09T08:25:34.250,-0.9668,0.2111,-0.0086,23.57,25.87,14.49
2021-04-09T08:25:34.312,-0.9670,0.2286,-0.0048,23.57,25.87,14.49
2021-04-09T08:25:34.375,-0.9605,0.2563,-0.0088,23.57,25.87,14.49
2021-04-09T08:25:34.437,-0.9687,0.1656,-0.0206,23.57,25.87,14.49
2021-04-09T08:25:34.500,-0.9632,0.2235,-0.0004,23.57,25.87,14.49
2021-04-09T08:25:34.562,-0.9602,0.2531,-0.0109,23.57,25.87,14.49
2021-04-09T08:25:34.625,-0.9592,0.2598,-0.0072,23.57,25.87,14.49
2021-04-09T08:25:34.687,-0.9645,0.2329,-0.0051,23.57,25.87,14.49
2021-04-09T08:25:34.750,-0.9627,0.2460,-0.0046,23.57,25.87,14.49
2021-04-09T08:25:34.812,-0.9594,0.2507,-0.0103,23.57,25.87,14.49
2021-04-09T08:25:34.875,-0.9606,0.2396,-0.0065,23.57,25.87,14.49
2021-04-09T08:25:34.937,-0.9593,0.2484,-0.0028,23.57,25.87,14.49
2021-04-09T08:25:35.000,-0.9302,0.3297,0.3239,23.57,25.87,14.49
2021-04-09T08:25:35.062,-0.9572,0.2385,-0.0205,23.57,25.87,14.49
2021-04-09T08:25:35.125,-0.9605,0.2616,-0.0134,23.57,25.87,14.49
2021-04-09T08:25:35.187,-0.9692,0.1865,-0.0014,23.57,25.87,14.49
2021-04-09T08:25:35.250,-0.9645,0.2316,-0.0083,23.57,25.87,14.49
2021-04-09T08:25:35.312,-0.9632,0.2391,-0.0019,23.57,25.87,14.49
2021-04-09T08:25:35.375,-0.9660,0.2358,-0.0097,23.57,25.87,14.49
2021-04-09T08:25:35.437,-0.9604,0.2360,-0.0013,23.57,25.87,14.49
2021-04-09T08:25:35.500,-0.9650,0.2323,-0.0099,23.57,25.87,14.49
2021-04-09T08:25:35.562,-0.9652,0.2244,-0.0047,23.57,25.87,14.49
2021-04-09T08:25:35.625,-0.9547,0.2671,0.0030,23.57,25.87,14.49
2021-04-09T08:25:35.687,-0.9509,0.3754,-0.0464,23.57,25.87,14.49
