ISO 8601 Time,Yaw (degrees),Pitch (degrees),Roll (degrees)
2021-04-09T08:25:33.000,26.67,76.30,91.63
2021-04-09T08:25:33.062,26.93,76.22,91.95
2021-04-09T08:25:33.125,26.88,76.23,91.89
2021-04-09T08:25:33.187,26.67,76.28,91.63
2021-04-09T08:25:33.250,26.74,76.33,91.70
2021-04-09T08:25:33.312,26.60,76.25,91.56
2021-04-09T08:25:33.375,26.51,76.31,91.44
2021-04-09T08:25:33.437,26.76,76.40,91.71
2021-04-09T08:25:33.500,26.86,76.35,91.84
2021-04-09T08:25:33.562,26.01,76.14,90.90
2021-04-09T08:25:33.625,27.37,76.35,92.43
2021-04-09T08:25:33.687,26.36,76.18,91.30
2021-04-09T08:25:33.750,26.98,76.19,92.02
2021-04-09T08:25:33.812,26.29,76.35,91.18
2021-04-09T08:25:33.875,26.57,76.13,91.56
2021-04-09T08:25:33.937,26.90,76.49,91.85
2021-04-09T08:25:34.000,26.43,76.02,91.42
2021-04-09T08:25:34.062,26.99,76.40,91.97
2021-04-09T08:25:34.125,26.36,76.42,91.24
2021-04-09T08:25:34.187,26.68,76.12,91.69
2021-04-09T08:25:34.250,27.61,77.67,92.34
2021-04-09T08:25:34.312,26.38,76.69,91.19
2021-04-09T08:25:34.375,26.69,75.05,91.96
2021-04-09T08:25:34.437,32.55,80.23,97.09
2021-04-09T08:25:34.500,25.48,76.94,90.10
2021-04-09T08:25:34.562,27.16,75.22,92.47
2021-04-09T08:25:34.625,26.32,74.84,91.59
2021-04-09T08:25:34.687,26.36,76.42,91.25
2021-04-09T08:25:34.750,26.06,75.66,91.08
2021-04-09T08:25:34.812,27.09,75.34,92.36
2021-04-09T08:25:34.875,26.53,75.99,91.55
2021-04-09T08:25:34.937,25.64,75.48,90.64
2021-04-09T08:25:35.000,-12.18,63.58,45.51
2021-04-09T08:25:35.062,29.43,75.96,94.91
2021-04-09T08:25:35.125,27.46,74.75,92.94
2021-04-09T08:25:35.187,26.27,79.11,90.42
2021-04-09T08:25:35.250,27.08,76.49,92.05
2021-04-09T08:25:35.312,25.60,76.06,90.45
2021-04-09T08:25:35.375,27.29,76.27,92.35
2021-04-09T08:25:35.437,25.51,76.20,90.32
2021-04-09T08:25:35.500,27.41,76.45,92.44
2021-04-09T08:25:35.562,26.44,76.91,91.20
2021-04-09T08:25:35.625,24.32,74.37,89.36
2021-04-09T08:25:35.687,29.59,68.31,97.04
2021-04-09T08:25:35.750,26.88,72.57,92.79
2021-04-09T08:25:35.812,26.68,84.01,89.43
2021-04-09T08:25:35.875,24.49,82.25,87.59
2021-04-09T08:25:35.937,27.39,75.89,92.56
2021-04-09T08:25:36.000,26.36,76.84,91.13
2021-04-09T08:25:36.062,8.94,65.27,71.84
2021-04-09T08:25:36.125,37.65,87.77,99.46
2021-04-09T08:25:36.187,-65.16,82.46,-9.71
2021-04-09T08:25:36.250,-149.91,70.38,-98.43
2021-04-09T08:25:36.312,-106.21,72.58,-60.01
2021-04-09T08:25:36.375,-62.29,76.63,-10.47
2021-04-09T08:25:36.437,44.99,74.04,113.67
2021-04-09T08:25:36.500,49.70,44.74,131.24
2021-04-09T08:25:36.562,66.92,64.30,145.66
2021-04-09T08:25:36.625,56.97,58.86,136.00
2021-04-09T08:25:36.687,41.80,68.03,112.22
2021-04-09T08:25:36.750,49.93,73.16,119.84
2021-04-09T08:25:36.812,-4.05,75.24,56.01
2021-04-09T08:25:36.875,26.71,76.21,91.69
2021-04-09T08:25:36.937,-17.83,84.94,41.74
2021-04-09T08:25:37.000,58.94,71.23,131.45
2021-04-09T08:25:37.062,59.70,70.68,132.68
2021-04-09T08:25:37.125,60.42,72.67,132.32
2021-04-09T08:25:37.187,40.22,69.43,109.78
2021-04-09T08:25:37.250,25.82,55.26,94.17
2021-04-09T08:25:37.312,61.27,72.86,133.17
2021-04-09T08:25:37.375,57.81,72.86,129.18
2021-04-09T08:25:37.437,51.53,66.66,124.90
2021-04-09T08:25:37.500,54.13,68.97,126.96
2021-04-09T08:25:37.562,49.14,69.71,120.54
2021-04-09T08:25:37.625,42.53,70.57,112.17
