ISO 8601 Time,Ax (g),Ay (g),Az (g),Mx (mG),My (mG),Mz (mG)
2021-04-09T09:12:23.000,-0.8233,-0.5617,0.0009,15.10,25.77,23.92
2021-04-09T09:12:23.062,-0.8364,-0.5486,-0.0016,15.10,25.77,23.92
2021-04-09T09:12:23.125,-0.8189,-0.5640,-0.0012,15.10,25.77,23.92
2021-04-09T09:12:23.187,-0.8369,-0.5512,0.0000,15.10,25.77,23.92
2021-04-09T09:12:23.250,-0.8262,-0.5607,-0.0002,15.10,25.77,23.92
2021-04-09T09:12:23.312,-0.8257,-0.5588,-0.0007,15.10,25.77,23.92
2021-04-09T09:12:23.375,-0.8347,-0.5501,0.0003,15.10,25.77,23.92
2021-04-09T09:12:23.437,-0.8160,-0.5665,-0.0004,15.10,25.77,23.92
2021-04-09T09:12:23.500,-0.8421,-0.5442,-0.0024,15.10,25.77,23.92
2021-04-09T09:12:23.562,-0.8124,-0.5699,-0.0001,15.10,25.77,23.92
2021-04-09T09:12:23.625,-0.8564,-0.5191,0.0014,15.10,25.77,23.92
2021-04-09T09:12:23.687,-0.7755,-0.6567,-0.0203,15.10,25.77,23.92
2021-04-09T09:12:23.750,-0.9026,-0.5850,0.1110,15.10,25.77,23.92
2021-04-09T09:12:23.812,-1.0301,-0.5186,0.0473,15.10,25.77,23.92
2021-04-09T09:12:23.875,-1.2172,0.0073,-0.2239,15.10,25.77,23.92
2021-04-09T09:12:23.937,-0.8796,0.1114,-0.0312,15.10,25.77,23.92
2021-04-09T09:12:24.000,-0.9171,-0.1847,-0.0493,15.10,25.77,23.92
2021-04-09T09:12:24.062,-0.8613,-0.2187,-0.1385,15.10,25.77,23.92
2021-04-09T09:12:24.125,-0.9664,-0.2002,-0.1569,15.10,25.77,23.92
2021-04-09T09:12:24.187,-1.0370,0.2177,-0.0762,15.10,25.77,23.92
2021-04-09T09:12:24.250,-1.0312,0.2081,-0.1438,15.10,25.77,23.92
2021-04-09T09:12:24.312,-0.9444,0.1948,-0.1788,15.10,25.77,23.92
2021-04-09T09:12:24.375,-1.0505,-0.0530,-0.1716,15.10,25.77,23.92
2021-04-09T09:12:24.437,-0.8468,-0.1877,-0.1988,15.10,25.77,23.92
2021-04-09T09:12:24.500,-0.9233,0.2888,-0.1705,15.10,25.77,23.92
2021-04-09T09:12:24.562,-1.0456,0.1787,-0.1920,15.10,25.77,23.92
2021-04-09T09:12:24.625,-1.0780,-0.0851,-0.1810,15.10,25.77,23.92
2021-04-09T09:12:24.687,-0.7256,0.1723,-0.2288,15.10,25.77,23.92
