ISO 8601 Time,Yaw (degrees),Pitch (degrees),Roll (degrees)
2021-04-09T09:12:23.000,-118.00,55.70,-89.91
2021-04-09T09:12:23.062,-119.19,56.74,-90.17
2021-04-09T09:12:23.125,-118.01,55.44,-90.13
2021-04-09T09:12:23.187,-118.90,56.63,-90.00
2021-04-09T09:12:23.250,-118.24,55.84,-90.02
2021-04-09T09:12:23.312,-118.37,55.91,-90.07
2021-04-09T09:12:23.375,-118.86,56.62,-89.97
2021-04-09T09:12:23.437,-117.73,55.23,-90.04
2021-04-09T09:12:23.500,-119.61,57.13,-90.26
2021-04-09T09:12:23.562,-117.45,54.95,-90.01
2021-04-09T09:12:23.625,-120.53,58.78,-89.84
2021-04-09T09:12:23.687,-114.32,49.73,-91.77
2021-04-09T09:12:23.750,-107.80,56.59,-79.26
2021-04-09T09:12:23.812,-118.39,63.18,-84.78
2021-04-09T09:12:23.875,126.94,79.57,178.12
2021-04-09T09:12:23.937,56.06,82.51,105.64
2021-04-09T09:12:24.000,-148.93,78.23,-104.95
2021-04-09T09:12:24.062,-167.40,73.27,-122.34
2021-04-09T09:12:24.125,-174.41,75.25,-128.08
2021-04-09T09:12:24.187,58.18,77.46,109.30
2021-04-09T09:12:24.250,72.27,76.22,124.64
2021-04-09T09:12:24.312,79.05,74.36,132.54
2021-04-09T09:12:24.375,147.43,80.30,-162.83
2021-04-09T09:12:24.437,175.40,72.11,-136.65
2021-04-09T09:12:24.500,66.61,70.04,120.56
2021-04-09T09:12:24.562,83.97,75.92,137.06
2021-04-09T09:12:24.625,155.86,79.49,-154.81
2021-04-09T09:12:24.687,86.42,68.46,143.02
2021-04-09T09:12:24.750,83.68,71.25,138.79
2021-04-09T09:12:24.812,-174.17,71.16,-128.16
2021-04-09T09:12:24.875,133.15,70.61,-171.90
2021-04-09T09:12:24.937,45.46,66.39,97.44
2021-04-09T09:12:25.000,99.51,70.71,155.70
2021-04-09T09:12:25.062,111.78,76.56,164.91
2021-04-09T09:12:25.125,138.16,69.78,-167.07
2021-04-09T09:12:25.187,109.27,76.27,162.58
2021-04-09T09:12:25.250,84.24,67.37,141.14
2021-04-09T09:12:25.312,113.01,70.03,169.62
2021-04-09T09:12:25.375,141.15,66.73,-163.07
2021-04-09T09:12:25.437,82.29,79.25,133.91
2021-04-09T09:12:25.500,130.65,73.72,-175.70
2021-04-09T09:12:25.562,114.81,69.03,171.95
2021-04-09T09:12:25.625,111.61,77.86,164.10
2021-04-09T09:12:25.687,130.72,79.39,-178.20
2021-04-09T09:12:25.750,87.47,60.02,148.54
2021-04-09T09:12:25.812,28.41,47.38,77.23
2021-04-09T09:12:25.875,174.68,48.54,-135.35
2021-04-09T09:12:25.937,90.44,67.91,147.63
2021-04-09T09:12:26.000,130.82,72.36,-174.88
2021-04-09T09:12:26.062,171.30,58.31,-138.34
2021-04-09T09:12:26.125,150.56,62.06,-153.54
2021-04-09T09:12:26.187,-20.96,10.05,-127.40
2021-04-09T09:12:26.250,82.89,22.52,-141.04
2021-04-09T09:12:26.312,9.29,-22.67,-140.20
