ISO 8601 Time,Ax (g),Ay (g),Az (g),Mx (mG),My (mG),Mz (mG)
2021-04-09T09:05:27.000,-1.0112,0.1366,0.1082,16.22,25.46,23.95
2021-04-09T09:05:27.062,-0.7577,0.2966,-0.2687,16.22,25.46,23.95
2021-04-09T09:05:27.125,-0.8997,0.0982,-0.0429,16.22,25.46,23.95
2021-04-09T09:05:27.187,-1.0330,0.1575,0.0007,16.22,25.46,23.95
2021-04-09T09:05:27.250,-0.9390,0.1012,-0.0058,16.22,25.46,23.95
2021-04-09T09:05:27.312,-0.9504,0.2036,-0.0848,16.22,25.46,23.95
2021-04-09T09:05:27.375,-0.8826,0.0751,-0.0169,16.22,25.46,23.95
2021-04-09T09:05:27.437,-1.0228,0.1624,-0.0592,16.22,25.46,23.95
2021-04-09T09:05:27.500,-0.9573,0.1601,-0.0226,16.22,25.46,23.95
2021-04-09T09:05:27.562,-0.9957,0.1931,-0.0384,16.22,25.46,23.95
2021-04-09T09:05:27.625,-0.9302,0.1712,-0.0049,16.22,25.46,23.95
2021-04-09T09:05:27.687,-1.0214,0.1606,-0.0015,16.22,25.46,23.95
2021-04-09T09:05:27.750,-1.0460,0.0612,0.0062,16.22,25.47,23.95
2021-04-09T09:05:27.812,-0.7940,0.3439,0.0722,16.22,25.47,23.95
2021-04-09T09:05:27.875,-1.0551,0.1648,-0.0527,16.22,25.47,23.95
2021-04-09T09:05:27.937,-0.9404,0.1067,-0.1022,16.22,25.47,23.95
2021-04-09T09:05:28.000,-0.8849,0.2310,-0.1214,16.22,25.47,23.95
2021-04-09T09:05:28.062,-1.1458,0.2167,-0.2070,16.22,25.47,23.95
2021-04-09T09:05:28.125,-0.9835,-0.0346,-0.1626,16.22,25.47,23.95
2021-04-09T09:05:28.187,-0.8607,0.1347,-0.1900,16.22,25.47,23.95
2021-04-09T09:05:28.250,-0.9406,0.2147,-0.1878,16.22,25.47,23.95
2021-04-09T09:05:28.312,-1.0704,0.2908,-0.2084,16.22,25.47,23.95
2021-04-09T09:05:28.375,-1.0459,-0.0405,-0.1509,16.22,25.47,23.95
2021-04-09T09:05:28.437,-0.9138,-0.2047,-0.1423,16.22,25.47,23.95
2021-04-09T09:05:28.500,-0.9902,-0.1213,-0.2331,16.22,25.47,23.95
2021-04-09T09:05:28.562,-1.1507,0.2673,-0.1368,16.22,25.47,23.95
2021-04-09T09:05:28.625,-0.9566,0.1215,-0.1440,16.22,25.47,23.95
2021-04-09T09:05:28.687,-0.8639,-0.1004,-0.1385,16.22,25.47,23.95
2021-04-09T09:05:28.750,-0.8478,-0.1502,-0.2516,16.22,25.47,23.95
2021-04-09T09:05:28.812,-1.0466,0.0673,-0.2357,16.22,25.47,23.95
2021-04-09T09:05:28.875,-0.9592,0.0827,-0.2170,16.22,25.47,23.95
2021-04-09T09:05:28.937,-1.0364,0.1779,-0.3746,16.22,25.47,23.95
2021-04-09T09:05:29.000,-0.9407,0.0340,-0.2595,16.22,25.47,23.95
2021-04-09T09:05:29.062,-0.9545,-0.3292,-0.1654,16.22,25.47,23.95
2021-04-09T09:05:29.125,-1.0146,-0.1594,-0.1833,16.22,25.47,23.95
2021-04-09T09:05:29.187,-0.9682,0.2536,-0.3264,16.22,25.47,23.95
2021-04-09T09:05:29.250,-1.0615,-0.0031,-0.2096,16.22,25.47,23.95
2021-04-09T09:05:29.312,-0.9561,-0.3872,-0.2585,16.22,25.47,23.95
2021-04-09T09:05:29.375,-0.9092,-0.1284,-0.3045,16.22,25.47,23.95
2021-04-09T09:05:29.437,-0.9261,-0.0745,-0.2693,16.22,25.47,23.95
2021-04-09T09:05:29.500,-1.0211,-0.1984,-0.0841,16.22,25.47,23.95
2021-04-09T09:05:29.562,-1.0806,0.0326,-0.3744,16.22,25.47,23.95
2021-04-09T09:05:29.625,-0.9281,0.0072,-0.3086,16.22,25.47,23.95
2021-04-09T09:05:29.687,-0.9396,0.1208,-0.2892,16.22,25.47,23.95
2021-04-09T09:05:29.750,-0.8845,-0.2975,-0.2578,16.22,25.47,23.95
2021-04-09T09:05:29.812,-0.8275,-0.2126,-0.3185,16.22,25.47,23.95
2021-04-09T09:05:29.875,-1.0540,-0.2449,-0.3009,16.22,25.47,23.95
2021-04-09T09:05:29.937,-0.9238,0.1504,-0.3150,16.21,25.47,23.95
2021-04-09T09:05:30.000,-0.8324,0.0119,0.3928,16.21,25.47,23.95
2021-04-09T09:05:30.062,-1.0216,-0.3844,0.0849,16.21,25.47,23.95
2021-04-09T09:05:30.125,-1.0942,-0.4339,-0.7562,16.21,25.47,23.95
2021-04-09T09:05:30.187,-1.1148,0.1104,-0.5432,16.21,25.47,23.95
2021-04-09T09:05:30.250,-0.9269,-0.1075,-0.2766,16.21,25.47,23.95
2021-04-09T09:05:30.312,-0.7202,-0.2946,-0.1066,16.21,25.47,23.95
2021-04-09T09:05:30.375,-1.1385,-0.0970,-0.1343,16.21,25.47,23.95
2021-04-09T09:05:30.437,-0.9346,-0.0684,-0.2752,16.21,25.47,23.95
2021-04-09T09:05:30.500,-0.9379,-0.2981,-0.2319,16.21,25.47,23.95
2021-04-09T09:05:30.562,-0.9370,-0.2239,-0.3345,16.21,25.47,23.95
2021-04-09T09:05:30.625,-0.9721,-0.2291,-0.2948,16.21,25.47,23.95
2021-04-09T09:05:30.687,-0.7972,-0.1540,-0.5163,16.21,25.47,23.95
2021-04-09T09:05:30.750,-0.8656,-0.1893,-0.3660,16.21,25.47,23.95
2021-04-09T09:05:30.812,-0.8296,-0.5046,-0.5410,16.21,25.47,23.95
2021-04-09T09:05:30.875,-0.4762,-0.5623,-0.4816,16.21,25.47,23.95
2021-04-09T09:05:30.937,-0.6787,-0.4549,-0.5767,16.21,25.47,23.95
2021-04-09T09:05:31.000,-0.4610,-0.3769,-0.4040,16.21,25.47,23.95
2021-04-09T09:05:31.062,-0.5187,-0.2955,-0.2788,16.21,25.47,23.95
2021-04-09T09:05:31.125,-0.8725,-0.0746,-0.5103,16.21,25.47,23.95
2021-04-09T09:05:31.187,-0.9279,-0.0665,-0.5529,16.21,25.47,23.95
2021-04-09T09:05:31.250,-0.9395,0.3771,-0.0106,16.21,25.47,23.95
2021-04-09T09:05:31.312,-1.0809,0.4251,0.0928,16.21,25.47,23.95
2021-04-09T09:05:31.375,-1.1932,0.1533,-0.0361,16.21,25.47,23.95
2021-04-09T09:05:31.437,-0.9854,0.3289,-0.0060,16.21,25.47,23.95
2021-04-09T09:05:31.500,-0.9316,0.4222,-0.0083,16.21,25.47,23.95
2021-04-09T09:05:31.562,-0.9051,0.4752,-0.0369,16.21,25.47,23.95
2021-04-09T09:05:31.625,-0.9859,0.5234,-0.1226,16.21,25.47,23.95
