ISO 8601 Time,Yaw (degrees),Pitch (degrees),Roll (degrees)
2021-04-09T09:05:27.000,4.55,80.22,51.60
2021-04-09T09:05:27.062,73.92,62.16,132.17
2021-04-09T09:05:27.125,64.18,83.21,113.62
2021-04-09T09:05:27.187,40.71,81.33,89.76
2021-04-09T09:05:27.250,44.65,83.84,93.25
2021-04-09T09:05:27.312,61.12,76.93,112.62
2021-04-09T09:05:27.375,54.16,85.01,102.69
2021-04-09T09:05:27.437,59.75,80.41,110.02
2021-04-09T09:05:27.500,48.34,80.41,98.03
2021-04-09T09:05:27.562,50.98,78.82,101.25
2021-04-09T09:05:27.625,42.11,79.57,91.64
2021-04-09T09:05:27.687,41.39,81.07,90.55
2021-04-09T09:05:27.750,36.60,86.64,84.24
2021-04-09T09:05:27.812,28.27,66.13,78.15
2021-04-09T09:05:27.875,57.65,80.69,107.73
2021-04-09T09:05:27.937,82.95,81.07,133.77
2021-04-09T09:05:28.000,64.84,73.57,117.72
2021-04-09T09:05:28.062,80.40,75.34,133.70
2021-04-09T09:05:28.125,142.13,80.41,-167.99
2021-04-09T09:05:28.187,90.68,74.86,144.67
2021-04-09T09:05:28.250,77.12,73.13,131.18
2021-04-09T09:05:28.312,71.41,71.52,125.63
2021-04-09T09:05:28.375,145.74,81.50,-164.99
2021-04-09T09:05:28.437,-170.00,74.74,-124.81
2021-04-09T09:05:28.500,157.42,75.14,-152.51
2021-04-09T09:05:28.562,64.83,75.37,117.10
2021-04-09T09:05:28.625,87.90,78.86,139.85
2021-04-09T09:05:28.687,167.87,78.80,-144.06
2021-04-09T09:05:28.750,160.10,70.93,-149.16
2021-04-09T09:05:28.812,111.00,76.82,164.07
2021-04-09T09:05:28.875,105.76,76.39,159.14
2021-04-09T09:05:28.937,96.72,68.19,154.60
2021-04-09T09:05:29.000,118.41,74.45,172.53
2021-04-09T09:05:29.062,-158.59,68.89,-116.68
2021-04-09T09:05:29.125,173.37,76.54,-138.98
2021-04-09T09:05:29.187,84.52,66.88,142.16
2021-04-09T09:05:29.250,129.52,78.83,-179.16
2021-04-09T09:05:29.312,-166.40,64.04,-123.72
2021-04-09T09:05:29.375,149.98,70.03,-157.13
2021-04-09T09:05:29.437,142.80,73.21,-164.53
2021-04-09T09:05:29.500,-157.16,78.08,-112.98
2021-04-09T09:05:29.562,118.85,70.82,175.02
2021-04-09T09:05:29.625,123.23,71.60,178.67
2021-04-09T09:05:29.687,101.27,71.55,157.33
2021-04-09T09:05:29.750,-176.79,66.01,-130.91
2021-04-09T09:05:29.812,161.90,65.17,-146.27
2021-04-09T09:05:29.875,170.24,69.79,-140.85
2021-04-09T09:05:29.937,97.23,69.30,154.48
2021-04-09T09:05:30.000,-40.19,64.73,1.74
2021-04-09T09:05:30.062,-113.49,68.93,-77.54
2021-04-09T09:05:30.125,147.65,51.45,-150.16
2021-04-09T09:05:30.187,107.30,63.56,168.52
2021-04-09T09:05:30.250,149.05,72.25,-158.75
2021-04-09T09:05:30.312,-148.89,66.49,-109.89
2021-04-09T09:05:30.375,168.17,81.72,-144.17
2021-04-09T09:05:30.437,141.04,73.12,-166.03
2021-04-09T09:05:30.500,-172.90,68.07,-127.88
2021-04-09T09:05:30.562,162.53,66.75,-146.20
2021-04-09T09:05:30.625,168.43,68.99,-142.14
2021-04-09T09:05:30.687,132.28,55.95,-163.39
2021-04-09T09:05:30.750,153.01,64.54,-152.65
2021-04-09T09:05:30.812,171.47,48.27,-136.99
2021-04-09T09:05:30.875,-162.85,32.75,-130.58
2021-04-09T09:05:30.937,155.94,42.74,-141.73
2021-04-09T09:05:31.000,167.00,39.84,-136.99
2021-04-09T09:05:31.062,179.81,51.93,-133.34
2021-04-09T09:05:31.125,125.19,59.41,-171.68
2021-04-09T09:05:31.187,123.16,59.03,-173.14
2021-04-09T09:05:31.250,40.34,68.12,91.61
2021-04-09T09:05:31.312,27.94,68.07,77.68
2021-04-09T09:05:31.375,53.90,82.48,103.25
2021-04-09T09:05:31.437,40.21,71.54,91.04
2021-04-09T09:05:31.500,39.69,65.61,91.12
2021-04-09T09:05:31.562,42.33,62.23,94.44
2021-04-09T09:05:31.625,49.66,61.40,103.18
2021-04-09T09:05:31.687,29.04,76.73,78.12
2021-04-09T09:05:31.750,29.73,61.09,79.90
2021-04-09T09:05:31.812,22.98,71.16,72.00
2021-04-09T09:05:31.875,52.62,71.84,104.76
2021-04-09T09:05:31.937,39.87,60.95,91.62
2021-04-09T09:05:32.000,58.48,37.94,116.73
2021-04-09T09:05:32.062,44.79,73.38,95.80
2021-04-09T09:05:32.125,41.60,73.13,92.34
2021-04-09T09:05:32.187,41.60,70.62,92.72
2021-04-09T09:05:32.250,40.06,62.47,91.77
2021-04-09T09:05:32.312,40.71,57.42,92.71
2021-04-09T09:05:32.375,40.00,58.56,91.86
2021-04-09T09:05:32.437,40.48,58.91,92.42
2021-04-09T09:05:32.500,39.87,59.47,91.68
2021-04-09T09:05:32.562,40.47,58.81,92.41
2021-04-09T09:05:32.625,40.29,58.45,92.20
2021-04-09T09:05:32.687,40.11,58.47,91.98
2021-04-09T09:05:32.750,40.13,57.45,92.02
2021-04-09T09:05:32.812,40.14,56.35,92.04
2021-04-09T09:05:32.875,40.22,53.37,92.08
2021-04-09T09:05:32.937,39.90,49.82,91.50
2021-04-09T09:05:33.000,40.25,45.80,91.54
2021-04-09T09:05:33.062,40.80,40.99,91.52
2021-04-09T09:05:33.125,41.24,37.20,91.31
2021-04-09T09:05:33.187,42.41,31.17,91.18
2021-04-09T09:05:33.250,44.05,25.12,91.15
2021-04-09T09:05:33.312,46.73,17.32,90.93
2021-04-09T09:05:33.375,50.76,9.05,91.05
2021-04-09T09:05:33.437,56.55,-0.39,90.73
2021-04-09T09:05:33.500,65.14,-10.67,90.86
2021-04-09T09:05:33.562,77.05,-22.04,90.78
2021-04-09T09:05:33.625,91.69,-34.23,90.89
2021-04-09T09:05:33.687,106.46,-46.66,90.75
2021-04-09T09:05:33.750,119.41,-60.34,91.00
2021-04-09T09:05:33.812,129.87,-78.49,92.20
2021-04-09T09:05:33.875,128.56,-74.24,91.34
2021-04-09T09:05:33.937,125.64,-69.21,91.25
2021-04-09T09:05:34.000,123.26,-65.45,91.08
2021-04-09T09:05:34.062,121.32,-63.40,91.47
2021-04-09T09:05:34.125,121.39,-62.99,91.12
2021-04-09T09:05:34.187,122.12,-63.90,91.08
2021-04-09T09:05:34.250,123.49,-65.97,91.21
2021-04-09T09:05:34.312,125.26,-68.58,91.22
2021-04-09T09:05:34.375,125.68,-69.67,91.48
2021-04-09T09:05:34.437,126.76,-71.31,91.43
2021-04-09T09:05:34.500,127.47,-73.10,91.76
2021-04-09T09:05:34.562,127.59,-72.65,91.41
2021-04-09T09:05:34.625,126.51,-71.43,91.73
2021-04-09T09:05:34.687,126.04,-70.11,91.41
2021-04-09T09:05:34.750,125.98,-69.93,91.36
2021-04-09T09:05:34.812,126.04,-70.28,91.51
2021-04-09T09:05:34.875,127.26,-72.25,91.49
